result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
1	Finnerty, Ian	100	128977350	100 BR SCY	21	49.69	49.69	2019 Summer Nationals (LCM)	2018 NCAA DI - Men	3/23/2018	Unattached	IN		1121	15	m
2	Dressel, Caeleb	100	127556123	100 BR SCY	21	50.03	50.03	2019 Summer Nationals (LCM)	2018 SEC Champs	2/17/2018	Unattached	FL		1106	15	m
3	Cordes, Kevin	100	84978544	100 BR SCY	20	50.04	50.04	2017 US Open	2014 NCAA DI - Men	3/27/2014	Unattached	AZ		1105	15	m
4	Licon, Will	100	117866244	100 BR SCY	22	50.68	50.68	2019 Summer Nationals (LCM)	2017 NCAA DI - Men	3/24/2017	Unattached	ST		1078	15	m
5	McHugh, Max	100	147023302	100 BR SCY	19	50.74	50.74	2019 Summer Nationals (LCM)	Minnesota Invite 2019	12/6/2019	Unattached	MN		1075	15	m
6	Schwingenschloegl, Fabian	100	117866272	100 BR SCY	25	50.77	50.77	2019 Summer Nationals (LCM)	2017 NCAA DI - Men	3/24/2017	Unattached	MV	Yes	1074	15	m
7	Fink, Nic	100	124382438	100 BR SCY	24	50.80	50.80	2019 Summer Nationals (LCM)	2017 Winter Nationals	12/1/2017	Athens Bulldog Swim Club	GA		1072	15	m
8	Miller, Cody	100	103018784	100 BR SCY	23	50.82	50.82	2019 Summer Nationals (LCM)	2015 OK  Oklahoma Elite Pro-Am	12/18/2015	Badger Swim Club,Inc.	MR		1072	15	m
9	Whitley, Reece	100	150581843	100 BR SCY	20	50.85	50.85	2019 Summer Nationals (LCM)	2020 PAC-12 Champs  men	3/6/2020	Unattached	PC		1070	15	m
10	Vissering, Carsten	100	135487251	100 BR SCY	21	50.88	50.88	2019 Summer Nationals (LCM)	Texas Hall of Fame Swimming In	11/30/2018	Unattached	CA		1069	15	m
11	Katis, Chuck	100	95704920	100 BR SCY	22	50.89	50.89	2019 Summer Nationals (LCM)	2015 NCAA DI - Men	3/27/2015	Unattached	PC		1069	15	m
12	Dugonjic, Damir	100	55061863	100 BR SCY	23	50.94	50.94	Summer Nationals (LCM)	2011 NCAA DI - Men	3/24/2011	Unattached	PC	Yes	1066	15	m
12	Wilson, Andrew	100	117752748	100 BR SCY	23	50.94	50.94	2019 Summer Nationals (LCM)	2017 NCAA DIII 	3/17/2017	Unattached	ST		1066	15	m
14	Backes, Zane	100	150191100	100 BR SCY	21	51.07	51.07	2019 Summer Nationals (LCM)	2020 B1G 10 Champs men	2/28/2020	Unattached	IN		1061	15	m
15	Hoppe, Connor	100	128977358	100 BR SCY	22	51.16	51.16	2019 Summer Nationals (LCM)	2018 NCAA DI - Men	3/23/2018	Unattached	PC		1057	15	m
16	Andrew, Michael	100	129163120	100 BR SCY	18	51.18	51.18	2019 Summer Nationals (LCM)	2018 VA TYR ISCA Junior Champs	3/21/2018	Race Pace Club	MV		1056	15	m
17	Hillis, Dillon	100	149812618	100 BR SCY	19	51.28	51.28	2019 Summer Nationals (LCM)	2020 SEC Champs	2/21/2020	Unattached	FL		1052	15	m
18	Alexandrov, Mike	100	51456882	100 BR SCY	25	51.35	51.35	Summer Nationals (LCM)	2010 Winter Nationals	12/2/2010	Tucson Ford Dealers Aquatics	AZ		1049	15	m
18	Goldfaden, Itay	100	149850754	100 BR SCY	23	51.35	51.35	2019 Summer Nationals (LCM)	2020 SEC Champs	2/21/2020	Unattached	SC	Yes	1049	15	m
20	Brock, Levi	100	128977334	100 BR SCY	22	51.38	51.38	2019 Summer Nationals (LCM)	2018 NCAA DI - Men	3/23/2018	Unattached	IN		1048	15	m
20	Pumputis, Caio	100	140251192	100 BR SCY	20	51.38	51.38	2019 Summer Nationals (LCM)	2019 NCAA DI - Men	3/29/2019	Unattached	GA	Yes	1048	15	m
22	Bell, Liam	100	149850711	100 BR SCY	19	51.39	51.39	2019 Summer Nationals (LCM)	2020 SEC Champs	2/21/2020	Unattached	SE		1047	15	m
23	Funk, Richard	100	95704829	100 BR SCY	22	51.41	51.41	2019 Summer Nationals (LCM)	2015 NCAA DI - Men	3/27/2015	Unattached	MI	Yes	1046	15	m
23	Scheinfeld, Charlie	100	135487064	100 BR SCY	19	51.41	51.41	2019 Summer Nationals (LCM)	Texas Hall of Fame Swimming In	11/30/2018	Unattached	IL		1046	15	m
25	Babinet, Jeremy	100	150191097	100 BR SCY	22	51.44	51.44	2019 Summer Nationals (LCM)	2020 B1G 10 Champs men	2/28/2020	Unattached	MI		1045	15	m
26	Corbeau, Caspar	100	147022553	100 BR SCY	18	51.46	51.46	2019 Summer Nationals (LCM)	Minnesota Invite 2019	12/6/2019	Unattached	OR	Yes	1044	15	m
27	McHugh, Conner	100	128977369	100 BR SCY	22	51.48	51.48	2019 Summer Nationals (LCM)	2018 NCAA DI - Men	3/23/2018	Unattached	MN		1043	15	m
28	Duderstadt, Michael	100	116320596	100 BR SCY	22	51.50	51.50	2019 Summer Nationals (LCM)	2017 SEC Champs	2/17/2017	Unattached	SE		1042	15	m
29	Stevens, Peter	100	106778267	100 BR SCY	20	51.51	51.51	2019 Summer Nationals (LCM)	2016 NCAA DI - Men	3/25/2016	Unattached	SE	Yes	1042	15	m
30	Tierney, Sam	100	95705212	100 BR SCY	21	51.54	51.54	2019 Summer Nationals (LCM)	2015 NCAA DI - Men	3/27/2015	Unattached	MV		1041	15	m
31	McHugh, Brendan	100	103014000	100 BR SCY	25	51.62	51.62	2019 Summer Nationals (LCM)	2015 NT Pro-Am Classic	12/18/2015	Greater Philadelphia Aquatic Club	MA		1037	15	m
32	Koon, Nolan	100	55061889	100 BR SCY	20	51.63	51.63	Summer Nationals (LCM)	2011 NCAA DI - Men	3/24/2011	Unattached	PC		1037	15	m
32	Lobanov, Anton	100	95343038	100 BR SCY	22	51.63	51.63	2019 Summer Nationals (LCM)	2015 NCAA DII 	3/13/2015	Unattached	FG	Yes	1037	15	m
34	Ortiz, Bruno	100	95705067	100 BR SCY	22	51.68	51.68	2019 Summer Nationals (LCM)	2015 NCAA DI - Men	3/27/2015	Unattached	MI	Yes	1035	15	m
35	Steel, Kevin	100	74578449	100 BR SCY	21	51.69	51.69	2017 US Open	2013 NCAA DI - Men 	3/28/2013	Unattached	AZ		1034	15	m
36	Kokko, Olli	100	150219382	100 BR SCY	25	51.71	51.71	2019 Summer Nationals (LCM)	Bulldog Invitational NCAA Qual	2/29/2020	Unattached	HI	Yes	1033	15	m
37	Somov, Evgenii	100	140251209	100 BR SCY	20	51.77	51.77	2019 Summer Nationals (LCM)	2019 NCAA DI - Men	3/29/2019	Unattached	KY	Yes	1031	15	m
38	Almeida, Carlos	100	64364413	100 BR SCY	23	51.78	51.78	2019 Winter US Open (LCM)	2012 NCAA DI - Men	3/22/2012	Unattached	KY	Yes	1030	15	m
38	Seliskar, Andrew	100	95663012	100 BR SCY	18	51.78	51.78	2019 Summer Nationals (LCM)	2015 FL NCSA Spring Champs	3/18/2015	Nation's Capital Swim Club	PV		1030	15	m
40	Hicks, Caleb	100	138899602	100 BR SCY	21	51.80	51.80	2019 Summer Nationals (LCM)	2019 SEC Champs	2/22/2019	Unattached	MV		1030	15	m
40	Montague, Jacob	100	127936503	100 BR SCY	20	51.80	51.80	2019 Summer Nationals (LCM)	2018 B1G 10 Champs Men	2/23/2018	Unattached	MI		1030	15	m
42	Maas, Derek	100	149812656	100 BR SCY	18	51.81	51.81	2019 Summer Nationals (LCM)	2020 SEC Champs	2/21/2020	Unattached	SE		1029	15	m
42	Pellini, Trent	100	146183865	100 BR SCY	21	51.81	51.81	2019 Summer Nationals (LCM)	Purdue Invite 2019	11/22/2019	Unattached	IN		1029	15	m
44	Guarente, Marco	100	149812599	100 BR SCY	22	51.82	51.82	2019 Summer Nationals (LCM)	2020 SEC Champs	2/21/2020	Unattached	FL	Yes	1029	15	m
45	Dahlia, Thomas	100	95704771	100 BR SCY	25	51.83	51.83	2019 Summer Nationals (LCM)	2015 NCAA DI - Men	3/27/2015	Unattached	KY	Yes	1028	15	m
46	Khoo, Lionel	100	138899611	100 BR SCY	23	51.85	51.85	2019 Summer Nationals (LCM)	2019 SEC Champs	2/22/2019	Unattached	SC	Yes	1027	15	m
47	Fiala, Brandon	100	105654234	100 BR SCY	20	51.86	51.86	2019 Summer Nationals (LCM)	2016 ACC Champs men	2/26/2016	Unattached	VA		1027	15	m
47	Wich-Glasen, Nils	100	117866172	100 BR SCY	22	51.86	51.86	2019 Summer Nationals (LCM)	2017 NCAA DI - Men	3/24/2017	Unattached	SC	Yes	1027	15	m
49	Claverie, Carlos	100	106777411	100 BR SCY	19	51.87	51.87	2019 Summer Nationals (LCM)	2016 NCAA DI - Men	3/25/2016	Unattached	KY	Yes	1027	15	m
50	Liivamagi, Martin	100	64364776	100 BR SCY	23	51.88	51.88	2019 Winter US Open (LCM)	2012 NCAA DI - Men	3/22/2012	Unattached	PC	Yes	1026	15	m
51	Barnosky, Michael	100	106778190	100 BR SCY	21	51.89	51.89	2019 Summer Nationals (LCM)	2016 NCAA DI - Men	3/25/2016	Unattached	CO		1026	15	m
