result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
1	Dressel, Caeleb	100	128977642	100 FR SCY	21	39.90	39.90	2019 Summer Nationals (LCM)	2018 NCAA DI - Men	3/24/2018	Unattached	FL		1124	2	m
2	Morozov, Vladimir	100	74578276	100 FR SCY	20	40.76	40.76	2017 US Open	2013 NCAA DI - Men 	3/28/2013	Unattached	CA	Yes	1074	2	m
3	Farris, Dean	100	140252754	100 FR SCY	21	40.80	40.80	2019 Summer Nationals (LCM)	2019 NCAA DI - Men	3/30/2019	Unattached	NE		1071	2	m
4	Chadwick, Michael	100	117867100	100 FR SCY	21	40.95	40.95	2019 Summer Nationals (LCM)	2017 NCAA DI - Men	3/25/2017	Unattached	MV		1062	2	m
5	Held, Ryan	100	128977728	100 FR SCY	22	41.05r	41.05	2019 Summer Nationals (LCM)	2018 NCAA DI - Men	3/24/2018	Unattached	NC		1057	2	m
6	Jackson, Tate	100	135501390	100 FR SCY	21	41.06	41.06	2019 Summer Nationals (LCM)	Texas Hall of Fame Swimming In	12/1/2018	Unattached	ST		1056	2	m
7	Adrian, Nathan	100	55064010	100 FR SCY	22	41.10	41.10	Summer Nationals (LCM)	2011 NCAA DI - Men	3/24/2011	Unattached	PC		1054	2	m
8	Pieroni, Blake	100	128977535	100 FR SCY	22	41.16	41.16	2019 Summer Nationals (LCM)	2018 NCAA DI - Men	3/24/2018	Unattached	IN		1050	2	m
9	Bilis, Simonas	100	106781604	100 FR SCY	22	41.18	41.18	2019 Summer Nationals (LCM)	2016 NCAA DI - Men	3/26/2016	Unattached	NC	Yes	1049	2	m
10	Hoffer, Ryan	100	102569398	100 FR SCY	17	41.23	41.23	2019 Summer Nationals (LCM)	2015 Winter Junior Nats - West	12/12/2015	Scottsdale Aquatic Club	AZ		1068	2	m
11	Krueger, Daniel	100	150197779	100 FR SCY	20	41.26	41.26	2019 Summer Nationals (LCM)	2020 Big 12 Champs	2/29/2020	Unattached	ST		1044	2	m
12	Ress, Justin	100	128977545	100 FR SCY	20	41.34	41.34	2019 Summer Nationals (LCM)	2018 NCAA DI - Men	3/24/2018	Unattached	NC		1040	2	m
13	Grevers, Matt	100	51457676	100 FR SCY	25	41.35	41.35	Summer Nationals (LCM)	2010 Winter Nationals	12/2/2010	Tucson Ford Dealers Aquatics	AZ		1039	2	m
14	Apple, Zach	100	128977619	100 FR SCY	20	41.36	41.36	2019 Summer Nationals (LCM)	2018 NCAA DI - Men	3/24/2018	Unattached	SE		1039	2	m
15	Chierighini, Marcelo	100	83677157	100 FR SCY	23	41.46r	41.46	2017 US Open	2014 SEC Champs	2/22/2014	Unattached	SE	Yes	1033	2	m
16	Blaskovic, Bruno	100	150195345	100 FR SCY	21	41.49	41.49	2019 Summer Nationals (LCM)	2020 B1G 10 Champs men	2/29/2020	Unattached	IN	Yes	1031	2	m
17	Gkolomeev, Kristian	100	106781627	100 FR SCY	22	41.52	41.52	2019 Summer Nationals (LCM)	2016 NCAA DI - Men	3/26/2016	Unattached	SE	Yes	1029	2	m
18	Molacek, Jacob	100	128977681	100 FR SCY	22	41.55	41.55	2019 Summer Nationals (LCM)	2018 NCAA DI - Men	3/24/2018	Unattached	NC		1028	2	m
19	Howard, Robert	100	138931844	100 FR SCY	22	41.57	41.57	2019 Summer Nationals (LCM)	2019 SEC Champs	2/23/2019	Unattached	SE		1027	2	m
20	Becker, Bowe	100	127936052	100 FR SCY	20	41.61	41.61	2019 Summer Nationals (LCM)	2018 B1G 10 Champs Men	2/24/2018	Unattached	MN		1024	2	m
20	Ringgold, Brett	100	106781599	100 FR SCY	20	41.61r	41.61	2019 Summer Nationals (LCM)	2016 NCAA DI - Men	3/26/2016	Unattached	ST		1024	2	m
22	Feigen, Jimmy	100	55064037	100 FR SCY	21	41.66	41.66	Summer Nationals (LCM)	2011 NCAA DI - Men	3/24/2011	Unattached	ST		1021	2	m
23	Haas, Townley	100	128977653	100 FR SCY	21	41.67	41.67	2019 Summer Nationals (LCM)	2018 NCAA DI - Men	3/24/2018	Unattached	ST		1021	2	m
24	Decoursey, Kyle	100	138931794	100 FR SCY	22	41.71	41.71	2019 Summer Nationals (LCM)	2019 SEC Champs	2/23/2019	Unattached	SE		1019	2	m
25	Kusch, Marius	100	139861858	100 FR SCY	25	41.73	41.73	2019 Summer Nationals (LCM)	2019 NCAA DII	3/16/2019	Unattached	NC	Yes	1017	2	m
26	Rooney, Maxime	100	138931922	100 FR SCY	20	41.74	41.74	2019 Summer Nationals (LCM)	2019 SEC Champs	2/23/2019	Unattached	FL		1017	2	m
27	Brown, Adam	100	55063716	100 FR SCY	22	41.75	41.75	Summer Nationals (LCM)	2011 NCAA DI - Men	3/24/2011	Unattached	SE	Yes	1016	2	m
28	Sendyk, Pawel	100	140251374	100 FR SCY	21	41.76	41.76	2019 Summer Nationals (LCM)	2019 NCAA DI - Men	3/30/2019	Unattached	PC	Yes	1016	2	m
29	Murray, John	100	84978762	100 FR SCY	19	41.77	41.77	2017 US Open	2014 NCAA DI - Men	3/27/2014	Unattached	ST		1015	2	m
30	Holoda, Peter	100	127653529	100 FR SCY	22	41.78	41.78	2019 Summer Nationals (LCM)	2018 SEC Champs	2/18/2018	Unattached	SE	Yes	1015	2	m
31	Auchinachie, Cameron	100	140251249	100 FR SCY	20	41.81	41.81	2019 Summer Nationals (LCM)	2019 NCAA DI - Men	3/30/2019	Unattached	CO		1013	2	m
32	Waddell, Zane	100	149876961	100 FR SCY	21	41.82	41.82	2019 Summer Nationals (LCM)	2020 SEC Champs	2/22/2020	Unattached	SE	Yes	1012	2	m
33	Schreuders, Mikel	100	140251370	100 FR SCY	20	41.88	41.88	2019 Summer Nationals (LCM)	2019 NCAA DI - Men	3/30/2019	Unattached	MV	Yes	1009	2	m
34	Berens, Ricky	100	74020013	100 FR SCY	24	41.90	41.90	2017 US Open	2013 ST TXLA American Short Co	3/7/2013	Longhorn Aquatics	ST		1008	2	m
34	Cielo, Cesar	100	79764939	100 FR SCY	26	41.90	41.90	2017 US Open	2013 Pro Series - Minneapolis	11/14/2013	Unattached	FG	Yes	1008	2	m
36	Korstanje, Nyls	100	140251315	100 FR SCY	20	41.91	41.91	2019 Summer Nationals (LCM)	2019 NCAA DI - Men	3/30/2019	Unattached	NC	Yes	1007	2	m
37	Craig, Cameron	100	117090327	100 FR SCY	19	41.95	41.95	2019 Summer Nationals (LCM)	2017 PAC 12 Champs men	3/4/2017	Unattached	AZ		1005	2	m
38	Lynch, Justin	100	128977722	100 FR SCY	21	41.97r	41.97	2019 Summer Nationals (LCM)	2018 NCAA DI - Men	3/24/2018	Unattached	PC		1004	2	m
39	Hassan, Mohamed	100	128977725	100 FR SCY	21	41.98r	41.98	2019 Summer Nationals (LCM)	2018 NCAA DI - Men	3/24/2018	Unattached	US	Yes	1003	2	m
39	Swift, Carter	100	150587335	100 FR SCY	21	41.98r	41.98	2019 Summer Nationals (LCM)	2020 PAC-12 Champs  men	3/7/2020	Unattached	AZ	Yes	1003	2	m
41	Vera, Blaise	100	139313234	100 FR SCY	19	42.04	42.04	2019 Summer Nationals (LCM)	2019 ACC Men's Champs	3/2/2019	Unattached	AM		1000	2	m
42	De Lucca, Joao	100	70125472	100 FR SCY	22	42.05	42.05	2017 US Open	2012 Winter Nationals	11/29/2012	University of Louisville	KY	Yes	999	2	m
43	Hill, Daxon	100	55064047	100 FR SCY	20	42.06	42.06	Summer Nationals (LCM)	2011 NCAA DI - Men	3/24/2011	Unattached	ST		999	2	m
43	Louw, Gideon	100	46384998	100 FR SCY	22	42.06	42.06	Summer Nationals (LCM)	2010 NCAA D1 - Men	3/26/2010	Unattached	SE	Yes	999	2	m
45	Jensen, Michael	100	135488462	100 FR SCY	20	42.10	42.10	2019 Summer Nationals (LCM)	UGA Fall Invitational 2018	12/1/2018	Unattached	PC		996	2	m
46	Moore, Graeme	100	55064109	100 FR SCY	22	42.11r	42.11	Summer Nationals (LCM)	2011 NCAA DI - Men	3/26/2011	Unattached	PC	Yes	996	2	m
47	Bohus, Richard	100	117090909	100 FR SCY	23	42.13r	42.13	2019 Summer Nationals (LCM)	2017 PAC 12 Champs men	3/4/2017	Unattached	AZ	Yes	995	2	m
47	Copeland, William	100	51457278	100 FR SCY	24	42.13	42.13	Summer Nationals (LCM)	2010 Winter Nationals	12/2/2010	California Aquatics	PC		995	2	m
47	Townsend, Darian	100	80540887	100 FR SCY	29	42.13	42.13	2017 US Open	2013 Winter Nationals	12/5/2013	Unattached	MR	Yes	995	2	m
50	Carter, Dylan	100	113170600	100 FR SCY	20	42.14	42.14	2019 Summer Nationals (LCM)	Texas Hall of Fame Swimming In	12/3/2016	Unattached	CA	Yes	994	2	m
50	Smith, Kieran	100	149876941	100 FR SCY	19	42.14	42.14	2019 Summer Nationals (LCM)	2020 SEC Champs	2/22/2020	Unattached	FL		994	2	m
52	Kibler, Drew	100	135501427	100 FR SCY	18	42.15	42.15	2019 Summer Nationals (LCM)	Texas Hall of Fame Swimming In	12/1/2018	Unattached	IN		993	2	m
53	Baqlah, Khader	100	128977622	100 FR SCY	19	42.17	42.17	2019 Summer Nationals (LCM)	2018 NCAA DI - Men	3/24/2018	Unattached	FL	Yes	992	2	m
54	Deborde, Bradley	100	84978702	100 FR SCY	22	42.18	42.18	2017 US Open	2014 NCAA DI - Men	3/27/2014	Unattached	FL		992	2	m
