result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
1	Jaeger, Connor	1500	110533982	1500 FR LCM	25	14:39.48	14:39.48	2019 Summer Nationals (LCM)	2016 Olympic Games	8/13/2016	Club Wolverine	MI		1053	60	m
2	Mellouli, Ous	1500	67648590	1500 FR LCM	28	14:40.31	14:40.31	2017 US Open	2012 Olympic Games	7/28/2012	Trojan Swim Club	CA	Yes	1051	60	m
3	Wilimovsky, Jordan	1500	110534050	1500 FR LCM	22	14:45.03	14:45.03	2019 Summer Nationals (LCM)	2016 Olympic Games	8/13/2016	Team Santa Monica	CA		1039	60	m
4	Grothe, Zane	1500	133036775	1500 FR LCM	26	14:48.40	14:48.40	2019 Summer Nationals (LCM)	2018 Pan Pacific Champs	8/9/2018	Unattached	CA		1030	60	m
5	Finke, Bobby	1500	133036731	1500 FR LCM	18	14:48.70	14:48.70	2019 Summer Nationals (LCM)	2018 Pan Pacific Champs	8/9/2018	Unattached	FL		1029	60	m
6	Gemmell, Andrew	1500	66512180	1500 FR LCM	21	14:52.19	14:52.19	2017 US Open	2012 Olympic Trials	6/25/2012	Delaware Swim Team	MA		1019	60	m
7	La Tourette, Chad	1500	57939238	1500 FR LCM	22	14:52.36	14:52.36	2020 Olympic Trials	2011 World Champs	7/24/2011	Unattached	CA		1019	60	m
8	Mahmoud, Akram	1500	99536487	1500 FR LCM	18	14:53.66	14:53.66	2020 Olympic Trials	2015 World Champs	8/9/2015	Unattached	SC	Yes	1016	60	m
9	McBroom, Michael	1500	77865439	1500 FR LCM	22	14:53.95	14:53.95	2019 Summer Nationals (LCM)	2013 World Champs	7/28/2013	Unattached	GU		1015	60	m
10	Sawrymowicz, Mateusz	1500	67648614	1500 FR LCM	25	14:54.32	14:54.32	2017 US Open	2012 Olympic Games	7/28/2012	Trojan Swim Club	CA	Yes	1014	60	m
11	Vanderkaay, Peter	1500	57940205	1500 FR LCM	27	14:54.99	14:54.99	2020 Olympic Trials	2011 World Champs	7/24/2011	Unattached	MI		1012	60	m
12	Ipsen, Anton	1500	140435186	1500 FR LCM	24	14:57.15	14:57.15	2020 Olympic Trials	2019 Pro Series - Richmond	4/13/2019	Wolfpack Elite	NC	Yes	1006	60	m
13	Ryan, Sean	1500	77479052	1500 FR LCM	20	14:57.33	14:57.33	2019 Summer Nationals (LCM)	2013 WUGS	7/10/2013	Unattached	MI		1006	60	m
14	Zhang, Lin	1500	49337648	1500 FR LCM	23	14:58.90	14:58.90	2020 Olympic Trials	2010 Pan Pacific Champs	8/18/2010	Trojan Swim Club	CA	Yes	1002	60	m
15	Sweetser, True	1500	120206069	1500 FR LCM	19	14:59.73	14:59.73	2019 Summer Nationals (LCM)	2017 Summer Nationals	6/27/2017	Stanford Swimming	PC		999	60	m
16	Brinegar, Michael	1500	143707075	1500 FR LCM	19	15:00.82	15:00.82	2020 Olympic Trials	2019 Summer Nationals	7/31/2019	Mission Viejo Nadadores	CA		997	60	m
17	Houck, Logan	1500	121630891	1500 FR LCM	20	15:01.70	15:01.70	2019 Summer Nationals (LCM)	2017 U.S. Open	8/2/2017	Sandpipers Of Nevada	CA		994	60	m
18	Ransford, Pj	1500	120206041	1500 FR LCM	20	15:01.82	15:01.82	2019 Summer Nationals (LCM)	2017 Summer Nationals	6/27/2017	Univ. Of Michigan Swim Team	MI		994	60	m
19	Auboeck, Felix	1500	149096121	1500 FR LCM	20	15:02.78	15:02.78	2019 Summer Nationals (LCM)	2017 World Champs	7/29/2017	Unattached	MI	Yes	991	60	m
20	Klueh, Michael	1500	58251832	1500 FR LCM	24	15:04.24	15:04.24	2020 Olympic Trials	2011 Summer Nationals	8/2/2011	FAST Swim Team	CA		988	60	m
21	Frayler, Arthur	1500	66512105	1500 FR LCM	18	15:04.69	15:04.69	2017 US Open	2012 Olympic Trials	6/25/2012	Germantown Academy Aquatic  Club	MA		986	60	m
22	Acosta, Marcelo	1500	149096013	1500 FR LCM	21	15:04.79	15:04.79	2019 Summer Nationals (LCM)	2017 World Champs	7/29/2017	Unattached	KY	Yes	986	60	m
23	Katz, Arik	1500	143707170	1500 FR LCM	17	15:05.93	15:05.93	2020 Olympic Trials	2019 Summer Nationals	7/31/2019	Sarasota Tsunami Swim Team	FL		984	60	m
24	Smith, Clark	1500	107745159	1500 FR LCM	21	15:05.97	15:05.97	2020 Olympic Trials	2016 ST TXLA 11&Over End of School Splash	5/22/2016	Unattached	ST		983	60	m
25	Abruzzo, Andrew	1500	121842741	1500 FR LCM	17	15:06.48	15:06.48	2019 Summer Nationals (LCM)	2017 World JR Champs 	8/28/2017	Plymouth Whitemarsh Aquatics	MA		982	60	m
25	Feeley, Ryan	1500	58250998	1500 FR LCM	19	15:06.48	15:06.48	2020 Olympic Trials	2011 Summer Nationals	8/2/2011	Badger Swim Club	MR		982	60	m
27	Agnel, Yannick	1500	81957234	1500 FR LCM	21	15:07.76	15:07.76	2019 Summer Nationals (LCM)	2014 Pro Series - Austin	1/17/2014	North Baltimore Aquatic Club	MD	Yes	978	60	m
28	Norman, Nick	1500	132599545	1500 FR LCM	21	15:08.81	15:08.81	2019 Summer Nationals (LCM)	2018 Summer Nationals	7/25/2018	California Aquatics	PC		976	60	m
29	Koski, Matias	1500	64486111	1500 FR LCM	17	15:09.17	15:09.17	2017 US Open	2012 Pro Swim - Indianapolis	3/29/2012	Dynamo Swim Club	GA	Yes	975	60	m
30	Wieser, Chris	1500	109220927	1500 FR LCM	20	15:09.70	15:09.70	2019 Summer Nationals (LCM)	2016 Olympic Trials 	7/3/2016	Tucson Ford Dealers Aquatics	AZ		973	60	m
31	Grodzki, Martin	1500	65222342	1500 FR LCM	21	15:10.47	15:10.47	2017 US Open	124th German Championships	5/10/2012	Unattached	GA	Yes	971	60	m
32	Litherland, Kevin	1500	120206005	1500 FR LCM	21	15:10.93	15:10.93	2019 Summer Nationals (LCM)	2017 Summer Nationals	6/27/2017	Dynamo Swim Club	GA		970	60	m
33	Pinion, Evan	1500	58337143	1500 FR LCM	16	15:11.03	15:11.03	2020 Olympic Trials	2011 FINA World Junior Champs	8/16/2011	Pilot Aquatic Club - Knoxville	SE		988	60	m
34	Burns, Janardan	1500	88506602	1500 FR LCM	18	15:11.35	15:11.35	2020 Olympic Trials	2014 Summer Nationals	8/6/2014	Mission Viejo Nadadores	CA		969	60	m
35	Calloni, Johannes	1500	132830411	1500 FR LCM	18	15:11.47	15:11.47	2019 Summer Nationals (LCM)	2018 European Jr Champs	7/5/2018	Unattached	PC	Yes	969	60	m
36	Mitchell, Jake	1500	143707210	1500 FR LCM	17	15:11.52	15:11.52	2020 Olympic Trials	2019 Summer Nationals	7/31/2019	Carmel Swim Club	IN		969	60	m
37	Glaesner, Mads	1500	57938803	1500 FR LCM	22	15:12.52	15:12.52	2020 Olympic Trials	2011 World Champs	7/24/2011	Unattached	CA	Yes	966	60	m
38	Zhang, Ziyang	1500	148834604	1500 FR LCM	18	15:13.29	15:13.29	2020 Olympic Trials	2019 U.S. Open	12/7/2019	Team Santa Monica	CA	Yes	964	60	m
39	Knowles, Eric	1500	143707176	1500 FR LCM	20	15:13.52	15:13.52	2020 Olympic Trials	2019 Summer Nationals	7/31/2019	Wolfpack Elite	NC		963	60	m
40	Vargas Jacobo, Ricardo	1500	143864451	1500 FR LCM	21	15:14.99	15:14.99	2020 Olympic Trials	2019 Pan Am Games	8/10/2019	Club Wolverine	MI	Yes	959	60	m
41	Peterson, Chip	1500	54488556	1500 FR LCM	23	15:15.25	15:15.25	2020 Olympic Trials	2011 Pro Series - Indianapolis 	3/3/2011	FAST Swim Team	CA		959	60	m
42	Egan, Liam	1500	88629741	1500 FR LCM	18	15:15.53	15:15.53	2020 Olympic Trials	2014 Jr Pan Pacific Championships	8/27/2014	Crimson Aquatics	NE		958	60	m
43	Patton, Matt	1500	66513527	1500 FR LCM	25	15:15.64	15:15.64	2017 US Open	2012 Olympic Trials	6/25/2012	Club Wolverine	MI		958	60	m
44	Collins, Jack	1500	143707091	1500 FR LCM	21	15:15.75	15:15.75	2020 Olympic Trials	2019 Summer Nationals	7/31/2019	Badger Swim Club,Inc.	MR		957	60	m
45	Karap, Nezir	1500	107768735	1500 FR LCM	22	15:16.29	15:16.29	2020 Olympic Trials	2016 European Champs	5/17/2016	Unattached	AZ	Yes	956	60	m
46	Abbott, Taylor	1500	99637765	1500 FR LCM	17	15:16.35	15:16.35	2020 Olympic Trials	2015 World JR Champs	8/30/2015	Nitro Swimming	ST		957	60	m
47	O'Connor, Daniel	1500	88506793	1500 FR LCM	22	15:16.38	15:16.38	2020 Olympic Trials	2014 Summer Nationals	8/6/2014	Mission Viejo Nadadores	CA		956	60	m
48	Ores, Jake	1500	88506722	1500 FR LCM	21	15:16.86	15:16.86	2020 Olympic Trials	2014 Summer Nationals	8/6/2014	Loveland Swim Club	CO		955	60	m
49	Smith, Cj	1500	88506754	1500 FR LCM	21	15:16.96	15:16.96	2020 Olympic Trials	2014 Summer Nationals	8/6/2014	Minnesota Aquatics	MN		954	60	m
50	Plage, James	1500	143857001	1500 FR LCM	16	15:16.97	15:16.97	2020 Olympic Trials	2019 Summer Junior Nats	8/6/2019	Aquabears	CT		972	60	m
51	Hirai, Yasu	1500	107929174	1500 FR LCM	26	15:17.54	15:17.54	2020 Olympic Trials	Japan Open 2016	5/20/2016	Unattached	US	Yes	953	60	m
52	Apel, Aaron	1500	110494619	1500 FR LCM	17	15:17.60	15:17.60	2019 Summer Nationals (LCM)	2016 Summer Junior Nats	8/8/2016	Scottsdale Aquatic Club	AZ		953	60	m
53	Linker, Adam	1500	109217143	1500 FR LCM	20	15:17.75	15:17.75	2019 Summer Nationals (LCM)	2016 Olympic Trials 	7/2/2016	Marlins of Raleigh	NC		952	60	m
54	Hedlin, Eric	1500	49368981	1500 FR LCM	17	15:17.81	15:17.81	2020 Olympic Trials	2010 Jr Pan Pacific Champs	8/26/2010	North Coast Aquatics	SI	Yes	953	60	m
55	Brady, Andrew	1500	121630812	1500 FR LCM	21	15:17.90	15:17.90	2019 Summer Nationals (LCM)	2017 U.S. Open	8/2/2017	Unattached	PV		952	60	m
55	Yeager, Chris	1500	120206088	1500 FR LCM	18	15:17.90	15:17.90	2019 Summer Nationals (LCM)	2017 Summer Nationals	6/27/2017	Nitro Swimming	ST		952	60	m
57	Arnold, J.P.	1500	58250124	1500 FR LCM	24	15:18.01	15:18.01	2020 Olympic Trials	2011 Summer Nationals	8/2/2011	Mission Viejo Nadadores	CA		952	60	m
58	Hao, Yun	1500	48403297	1500 FR LCM	15	15:18.75	15:18.75	2020 Olympic Trials	2010 CA LOS ANGELES GRAND PRIX	7/8/2010	Unattached	NM	Yes	996	60	m
59	Heron, David	1500	88506650	1500 FR LCM	19	15:18.85	15:18.85	2020 Olympic Trials	2014 Summer Nationals	8/6/2014	Tennessee Aquatics	SE		949	60	m
60	Grieshop, Sean	1500	107528371	1500 FR LCM	17	15:18.88	15:18.88	2020 Olympic Trials	2016 Atlanta Classic Swim Meet	5/15/2016	Nitro Swimming	ST		950	60	m
61	Hirschberger, Matthew	1500	95659391	1500 FR LCM	16	15:19.23	15:19.23	2020 Olympic Trials	2015 FL NCSA Spring Champs	3/21/2015	Nation's Capital Swim Club	PV		966	60	m
62	Hyogo, Kei	1500	108064596	1500 FR LCM	20	15:19.49	15:19.49	2020 Olympic Trials	2016 ST TXLA Longhorn Aquatics Elite Invite	6/5/2016	Yale University	CT	Yes	948	60	m
63	Kinderwater, Joe	1500	49216150	1500 FR LCM	21	15:19.57	15:19.57	2020 Olympic Trials	2010 Summer Nationals	8/3/2010	WSY Swimming	MA		948	60	m
64	Gravley, Brennan	1500	142221906	1500 FR LCM	18	15:19.59	15:19.59	2020 Olympic Trials	2019 CA MVN SMOC	6/20/2019	Sandpipers Of Nevada	CA		947	60	m
65	Plattel, Lleyton	1500	140453836	1500 FR LCM	16	15:20.46	15:20.46	2020 Olympic Trials	2019 Swim Cup Eindhoven	4/12/2019	Pleasanton Seahawks	PC	Yes	963	60	m
66	Roditi, Matan	1500	148833710	1500 FR LCM	21	15:20.69	15:20.69	2020 Olympic Trials	2019 U.S. Open	12/7/2019	Team Santa Monica	CA	Yes	945	60	m
67	Yeadon, Zach	1500	132600393	1500 FR LCM	19	15:21.21	15:21.21	2019 Summer Nationals (LCM)	2018 Summer Nationals	7/25/2018	Alamo Area Aquatic Association	ST		943	60	m
68	Swanson, Chris	1500	109217171	1500 FR LCM	21	15:21.22	15:21.22	2019 Summer Nationals (LCM)	2016 Olympic Trials 	7/2/2016	University of Pennsylvania	MA		943	60	m
69	Lawless, Ben	1500	120206000	1500 FR LCM	20	15:21.32	15:21.32	2019 Summer Nationals (LCM)	2017 Summer Nationals	6/27/2017	Central Chesapeake Swimming	MD		943	60	m
70	Lamar, Simon	1500	110494805	1500 FR LCM	16	15:22.03	15:22.03	2019 Summer Nationals (LCM)	2016 Summer Junior Nats	8/8/2016	FAST Swim Team	CA		959	60	m
71	Dant, Ross	1500	143707104	1500 FR LCM	18	15:22.06	15:22.06	2020 Olympic Trials	2019 Summer Nationals	7/31/2019	Hickory Foundation YMCA Seahorse Swim Team	NC		941	60	m
