result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
1	Lochte, Ryan	200	57939344	200 BK LCM	26	1:52.96	1:52.96	2020 Olympic Trials	2011 World Champs	7/24/2011	Unattached	FL		1109	67	m
2	Clary, Tyler	200	67623435	200 BK LCM	23	1:53.41	1:53.41	2017 US Open	2012 Olympic Games	7/28/2012	FAST Swim Team	CA		1099	67	m
3	Murphy, Ryan	200	132992535	200 BK LCM	23	1:53.57	1:53.57	2019 Summer Nationals (LCM)	2018 Pan Pacific Champs	8/9/2018	California Aquatics	PC		1096	67	m
4	Pebley, Jacob	200	109210691	200 BK LCM	22	1:54.77	1:54.77	2019 Summer Nationals (LCM)	2016 Olympic Trials 	7/1/2016	California Aquatics	PC		1070	67	m
5	Irie, Ryosuke	200	133066139	200 BK LCM	28	1:55.11	1:55.11	2019 Summer Nationals (LCM)	2018 Asian Games Champs	8/23/2018	Unattached	NC	Yes	1063	67	m
6	Vyatchanin, Arkady	200	86787233	200 BK LCM	30	1:55.30	1:55.30	2017 US Open	2014 Pro Series - Santa Clara 	6/19/2014	New York Athletic Club	MR	Yes	1059	67	m
7	Conger, Jack	200	78092137	200 BK LCM	18	1:55.47	1:55.47	2017 US Open	2013 WUGS	7/15/2013	Machine Aquatics	PV		1056	67	m
8	Lehane, Sean	200	110414813	200 BK LCM	21	1:55.56	1:55.56	2019 Summer Nationals (LCM)	2016 Sectionals - Brown Deer	7/23/2016	Unattached	SE		1054	67	m
9	Katz, Austin	200	143504282	200 BK LCM	20	1:55.57	1:55.57	2020 Olympic Trials	2019 WUGS	7/8/2019	Unattached	ST		1053	67	m
10	Casas, Shaine	200	143732051	200 BK LCM	19	1:55.79	1:55.79	2020 Olympic Trials	2019 Summer Nationals	8/1/2019	Aggie Swim Club	GU		1049	67	m
11	Peirsol, Aaron	200	49337233	200 BK LCM	27	1:56.22	1:56.22	2020 Olympic Trials	2010 Pan Pacific Champs	8/18/2010	Longhorn Aquatics	ST		1040	67	m
12	Taylor, Michael	200	109191453	200 BK LCM	17	1:56.78	1:56.78	2019 Summer Nationals (LCM)	2016 Olympic Trials 	6/30/2016	Dynamo Swim Club	GA		1040	67	m
13	Owen, Robert	200	110413351	200 BK LCM	20	1:56.79	1:56.79	2019 Summer Nationals (LCM)	2016 U.S. Open	8/3/2016	H2okie Aquatics	VA		1028	67	m
14	Teduits, Drew	200	76515938	200 BK LCM	19	1:56.83	1:56.83	2017 US Open	2013 Summer Nationals	6/25/2013	Wisconsin Aquatics	WI		1027	67	m
15	Roberts, Jonathan	200	121648507	200 BK LCM	21	1:56.88	1:56.88	2019 Summer Nationals (LCM)	2017 U.S. Open	8/3/2017	North Texas Nadadores	NT		1026	67	m
16	Phelps, Michael	200	49216936	200 BK LCM	25	1:56.98	1:56.98	2020 Olympic Trials	2010 Summer Nationals	8/3/2010	North Baltimore Aquatic Club	MD		1024	67	m
17	Reid, Chris	200	148833635	200 BK LCM	23	1:57.04	1:57.04	2020 Olympic Trials	2019 U.S. Open	12/7/2019	Wolfpack Elite	NC	Yes	1023	67	m
18	Beach, Clark	200	132597934	200 BK LCM	19	1:57.06	1:57.06	2019 Summer Nationals (LCM)	2018 Summer Nationals	7/26/2018	Quest Swimming	VA		1022	67	m
18	Thoman, Nick	200	66514276	200 BK LCM	26	1:57.06	1:57.06	2017 US Open	2012 Olympic Trials	6/25/2012	SwimMAC Carolina	NC		1022	67	m
20	Tarasevich, Grigory	200	132983722	200 BK LCM	23	1:57.07	1:57.07	2019 Summer Nationals (LCM)	2018 European Champs 	8/7/2018	Unattached	KY	Yes	1022	67	m
21	Alexander, Nick	200	132597801	200 BK LCM	20	1:57.18	1:57.18	2019 Summer Nationals (LCM)	2018 Summer Nationals	7/26/2018	U. of Missouri	MV		1020	67	m
22	Pereira, Thiago	200	59134143	200 BK LCM	25	1:57.19	1:57.19	2020 Olympic Trials	2011 Pan Am Games	10/16/2011	Trojan Swim Club	CA	Yes	1020	67	m
23	Grevers, Matt	200	102156316	200 BK LCM	30	1:57.24	1:57.24	2020 Olympic Trials	2015 Winter Nationals	12/5/2015	Tucson Ford Dealers Aquatics	AZ		1019	67	m
24	Toumarkin, Jacob	200	122030945	200 BK LCM	25	1:57.29	1:57.29	2019 Summer Nationals (LCM)	Israel Summer Championship - Long Course 2017	8/2/2017	Unattached	NC	Yes	1018	67	m
25	Rogan, Markus	200	49290021	200 BK LCM	28	1:57.31	1:57.31	2020 Olympic Trials	2010 European Champs	8/9/2010	Trojan Swim Club	CA	Yes	1017	67	m
26	Mulcare, Patrick	200	102156398	200 BK LCM	19	1:57.34	1:57.34	2020 Olympic Trials	2015 Winter Nationals	12/5/2015	Unattached	CA		1017	67	m
27	Mefford, Bryce	200	143732133	200 BK LCM	20	1:57.39	1:57.39	2020 Olympic Trials	2019 Summer Nationals	8/1/2019	California Aquatics	PC		1015	67	m
28	Glania, Jan-Philip	200	85624554	200 BK LCM	25	1:57.40	1:57.40	2017 US Open	126th German Championships 2014	5/1/2014	Unattached	CA	Yes	1015	67	m
28	Poti, Zachary	200	143732156	200 BK LCM	20	1:57.40	1:57.40	2020 Olympic Trials	2019 Summer Nationals	8/1/2019	Sun Devil Swimming	AZ		1015	67	m
30	Chitwood, Cory	200	67742644	200 BK LCM	23	1:57.41	1:57.41	2017 US Open	2012 U.S. Open 	8/7/2012	Northern KY Clippers Swimming	OH		1015	67	m
31	Tullius, Rex	200	58253711	200 BK LCM	24	1:57.48	1:57.48	2020 Olympic Trials	2011 Summer Nationals	8/2/2011	Daytona Beach Swimming	FL	Yes	1014	67	m
32	Main, Corey	200	110519506	200 BK LCM	21	1:57.51	1:57.51	2019 Summer Nationals (LCM)	2016 Olympic Games	8/10/2016	Unattached	FL	Yes	1013	67	m
33	Green, Connor	200	88512669	200 BK LCM	18	1:57.60	1:57.60	2020 Olympic Trials	2014 Summer Nationals	8/6/2014	Bluefish Swim Club	NE		1011	67	m
34	Carr, Daniel	200	132598126	200 BK LCM	19	1:57.69	1:57.69	2019 Summer Nationals (LCM)	2018 Summer Nationals	7/26/2018	California Aquatics	PC		1009	67	m
35	Foster, Carson	200	132598561	200 BK LCM	16	1:57.70	1:57.70	2019 Summer Nationals (LCM)	2018 Summer Nationals	7/26/2018	Mason Manta Rays	OH		1063	67	m
36	Giller, Robby	200	132598638	200 BK LCM	19	1:58.01	1:58.01	2019 Summer Nationals (LCM)	2018 Summer Nationals	7/26/2018	Cavalier Swimming	VA		1003	67	m
37	Pinzon, Omar	200	65079787	200 BK LCM	22	1:58.12	1:58.12	2017 US Open	2012 Pro Series - Charlotte 	5/10/2012	Trojan Swim Club	CA	Yes	1000	67	m
38	Patching, Joe	200	96066154	200 BK LCM	21	1:58.17	1:58.17	2020 Olympic Trials	British Swimming Championships 2015	4/16/2015	Unattached	SE	Yes	999	67	m
39	Davis, Wyatt	200	143944960	200 BK LCM	18	1:58.18	1:58.18	2020 Olympic Trials	2019 World JR Champs	8/25/2019	Unattached	IN		999	67	m
39	Griffin, Carter	200	98741442	200 BK LCM	20	1:58.18	1:58.18	2020 Olympic Trials	2015 Pan American Games	7/15/2015	Unattached	CO		999	67	m
41	Stuart, Hennessey	200	109191416	200 BK LCM	21	1:58.20	1:58.20	2019 Summer Nationals (LCM)	2016 Olympic Trials 	6/30/2016	NC State University	NC		999	67	m
41	Tysoe, Cam	200	143504521	200 BK LCM	23	1:58.20	1:58.20	2020 Olympic Trials	2019 WUGS	7/8/2019	Unattached	WI	Yes	999	67	m
43	Stewart, Coleman	200	132600071	200 BK LCM	20	1:58.30	1:58.30	2019 Summer Nationals (LCM)	2018 Summer Nationals	7/26/2018	NC State University	NC		997	67	m
44	Dezwirek, Jeremie	200	107113506	200 BK LCM	22	1:58.31	1:58.31	2020 Olympic Trials	2016 Canadian Olympic Swimming Trials	4/9/2016	Unattached	PC	Yes	996	67	m
45	Loughran, Marco	200	56849118	200 BK LCM	22	1:58.34	1:58.34	2020 Olympic Trials	British Gas ASA National Championships	6/14/2011	Unattached	FL	Yes	996	67	m
46	Acevedo, Javi	200	133036657	200 BK LCM	20	1:58.36	1:58.36	2019 Summer Nationals (LCM)	2018 Pan Pacific Champs	8/12/2018	Unattached	GA	Yes	995	67	m
47	Ress, Eric	200	67742970	200 BK LCM	21	1:58.42	1:58.42	2017 US Open	2012 U.S. Open 	8/7/2012	Santa Clara Swim Club	PC	Yes	994	67	m
48	Gonzalez, Hugo	200	133029401	200 BK LCM	19	1:58.43	1:58.43	2019 Summer Nationals (LCM)	2018 European Champs 	8/7/2018	Unattached	SE	Yes	994	67	m
48	Reilman, Joey	200	132599755	200 BK LCM	21	1:58.43	1:58.43	2019 Summer Nationals (LCM)	2018 Summer Nationals	7/26/2018	Tennessee Aquatics	SE		994	67	m
50	Grum, Ian	200	143858021	200 BK LCM	18	1:58.49	1:58.49	2020 Olympic Trials	2019 Summer Junior Nats	8/7/2019	Dynamo Swim Club	GA		993	67	m
51	Albiero, Nicolas	200	143723247	200 BK LCM	20	1:58.57	1:58.57	2020 Olympic Trials	2019 Summer Nationals	8/1/2019	University of Louisville	KY		991	67	m
52	DeVine, Abrahm	200	120256728	200 BK LCM	20	1:58.65	1:58.65	2019 Summer Nationals (LCM)	2017 Summer Nationals	6/28/2017	Stanford Swimming	PC		989	67	m
52	Wang, Shun	200	142131522	200 BK LCM	25	1:58.65	1:58.65	2020 Olympic Trials	2019 SI Splash and Dash Meet	6/15/2019	Team Elite	NC	Yes	989	67	m
54	Beach, Ethan	200	143732039	200 BK LCM	20	1:58.69	1:58.69	2020 Olympic Trials	2019 Summer Nationals	8/1/2019	Quest Swimming	VA		989	67	m
55	Tretyakov, Nikita	200	121843093	200 BK LCM	18	1:58.72	1:58.72	2019 Summer Nationals (LCM)	2017 World JR Champs 	8/28/2017	Swim Fort Lauderdale	FG	Yes	988	67	m
56	Martos Bacarizo, Manu	200	143504339	200 BK LCM	18	1:58.76	1:58.76	2020 Olympic Trials	2019 WUGS	7/8/2019	Unattached	IL	Yes	987	67	m
