result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
1	Lochte, Ryan	200	52014118	200 FR SCM	26	1:41.08	1:41.08	Summer Nationals (LCM)	2010 SCM World Champs 	12/15/2010	Daytona Beach Swimming	FL		1110	30	m
2	Pieroni, Blake	200	134999207	200 FR SCM	23	1:41.15	1:41.15	AAAA	2018 World Cup - Singapore	11/17/2018	Unattached	CA		1108	30	m
3	Agnel, Yannick	200	77982550	200 FR SCM	21	1:41.26	1:41.26	AAAA	2013 World Cup - Berlin	8/10/2013	Unattached	MD	Yes	1105	30	m
4	Dwyer, Conor	200	77983058	200 FR SCM	24	1:41.30	1:41.30	AAAA	2013 World Cup - Berlin	8/10/2013	Unattached	MD		1104	30	m
5	De Lucca, Joao	200	91949010	200 FR SCM	24	1:41.85	1:41.85	AAAA	2014 SCM World Champs 	12/3/2014	Cardinal Aquatics	KY	Yes	1089	30	m
6	Mellouli, Ous	200	52014221	200 FR SCM	26	1:42.02	1:42.02	Summer Nationals (LCM)	2010 SCM World Champs 	12/15/2010	Trojan Swim Club	CA	Yes	1085	30	m
7	Lobintsev, Nikita	200	90075591	200 FR SCM	25	1:42.33	1:42.33	AAAA	2013 Euro's Champs scm	12/15/2013	Unattached	CA	Yes	1076	30	m
8	Quintero, Cristian	200	91088240	200 FR SCM	22	1:42.40	1:42.40	AAAA	2014 SCM World Champs 	12/3/2014	Unattached	CA	Yes	1075	30	m
9	Carter, Dylan	200	113547497	200 FR SCM	20	1:42.48	1:42.48	2019 Winter US Open (LCM)	2016 SCM World Champs 	12/7/2016	Unattached	CA	Yes	1072	30	m
10	Berens, Ricky	200	61048273	200 FR SCM	23	1:42.68	1:42.68	AAAA	2011 Duel In The Pool 	12/16/2011	Unattached	CA		1067	30	m
11	Townsend, Darian	200	67988972	200 FR SCM	28	1:42.71	1:42.71	AAAA	2012 World Cup - Dubai	10/2/2012	Unattached	AZ	Yes	1066	30	m
12	D'Arrigo, Mitch	200	91220474	200 FR SCM	19	1:42.77r	1:42.77	AAAA	2014 SCM World Champs 	12/4/2014	University of Florida	FL		1065	30	m
13	Fraser, Shaune	200	52013638	200 FR SCM	22	1:42.98	1:42.98	Summer Nationals (LCM)	2010 SCM World Champs 	12/15/2010	Gator Swim Club	FL	Yes	1059	30	m
14	Morozov, Vladimir	200	133343048	200 FR SCM	26	1:43.01	1:43.01	AAAA	2018 World Cup - Budapest	10/6/2018	Unattached	CA	Yes	1058	30	m
15	Hurley, Bobby	200	79479700	200 FR SCM	25	1:43.12	1:43.12	AAAA	2013 World Cup - Tokyo	11/9/2013	Unattached	AZ	Yes	1055	30	m
16	Switkowski, Jan	200	103319773	200 FR SCM	21	1:43.15	1:43.15	2019 Winter US Open (LCM)	Polish Championships	12/20/2015	Unattached	FL	Yes	1055	30	m
17	Seliskar, Andrew	200	147487143	200 FR SCM	23	1:43.20	1:43.20	AAAA	2019 ISL Series - Las Vegas	12/20/2019	Unattached	PC		1053	30	m
