result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
1	Lochte, Ryan	400	67544131	400 IM LCM	27	4:05.18	4:05.18	2017 US Open	2012 Olympic Games	7/28/2012	Daytona Beach Swimming	FL		1106	76	m
2	Kalisz, Chase	400	149097200	400 IM LCM	23	4:05.90	4:05.90	2019 Summer Nationals (LCM)	2017 World Champs	7/30/2017	Unattached	GA		1099	76	m
3	Phelps, Michael	400	66513595	400 IM LCM	26	4:07.89	4:07.89	2017 US Open	2012 Olympic Trials	6/25/2012	North Baltimore Aquatic Club	MD		1079	76	m
4	Clary, Tyler	400	88614269	400 IM LCM	25	4:09.03	4:09.03	2020 Olympic Trials	2014 Pan Pacific Champs	8/21/2014	SwimMAC Carolina	NC		1068	76	m
5	Litherland, Jay	400	149089500	400 IM LCM	23	4:09.22	4:09.22	2020 Olympic Trials	2019 World Champs	7/28/2019	Unattached	GA		1066	76	m
6	Wang, Shun	400	144831866	400 IM LCM	25	4:10.13	4:10.13	2020 Olympic Trials	2019 7th CISM Military World Games	10/19/2019	Team Elite	NC	Yes	1057	76	m
7	Wallace, Dan	400	88531897	400 IM LCM	21	4:11.04	4:11.04	2019 Summer Nationals (LCM)	2014 Commonwealth Games	7/24/2014	Unattached	FL	Yes	1048	76	m
8	Rousseau, Sebastien	400	77837549	400 IM LCM	22	4:11.11	4:11.11	2017 US Open	2013 U.S. Open 	7/30/2013	Gator Swim Club	FL	Yes	1048	76	m
9	Swanson, Charlie	400	143861697	400 IM LCM	21	4:11.46	4:11.46	2020 Olympic Trials	2019 Pan Am Games	8/9/2019	Club Wolverine	MI		1044	76	m
10	Bentz, Gunnar	400	120295537	400 IM LCM	21	4:11.66	4:11.66	2019 Summer Nationals (LCM)	2017 Summer Nationals	6/29/2017	Athens Bulldog Swim Club	GA		1042	76	m
11	Weiss, Michael	400	77478927	400 IM LCM	22	4:12.00	4:12.00	2017 US Open	2013 WUGS	7/10/2013	Unattached	WI		1039	76	m
12	Pereira, Thiago	400	49337248	400 IM LCM	24	4:12.09	4:12.09	2020 Olympic Trials	2010 Pan Pacific Champs	8/18/2010	Trojan Swim Club	CA	Yes	1038	76	m
13	Heidtmann, Jacob	400	150581647	400 IM LCM	25	4:12.40	4:12.40	2020 Olympic Trials	2020 Pro Swim - Des Moines	3/6/2020	Team Elite	NC	Yes	1035	76	m
14	Grieshop, Sean	400	132598692	400 IM LCM	19	4:12.72	4:12.72	2019 Summer Nationals (LCM)	2018 Summer Nationals	7/27/2018	California Aquatics	PC		1032	76	m
15	Finke, Bobby	400	143736801	400 IM LCM	19	4:13.15	4:13.15	2020 Olympic Trials	2019 Summer Nationals	8/2/2019	Saint Petersburg Aquatics	FL		1028	76	m
15	Prenot, Josh	400	99697768	400 IM LCM	21	4:13.15	4:13.15	2020 Olympic Trials	2015 WUGS	7/10/2015	Unattached	PC		1028	76	m
17	Huang, ChaoSheng	400	51639407	400 IM LCM	16	4:13.38	4:13.38	2020 Olympic Trials	2010 Asain Games	11/13/2010	Unattached	CT	Yes	1058	76	m
17	Mellouli, Ous	400	53983071	400 IM LCM	27	4:13.38	4:13.38	2020 Olympic Trials	2011 Pro Series - Missouri 	2/18/2011	Trojan Swim Club	CA	Yes	1025	76	m
19	Foster, Carson	400	143736805	400 IM LCM	17	4:13.39	4:13.39	2020 Olympic Trials	2019 Summer Nationals	8/2/2019	Mason Manta Rays	OH		1025	76	m
20	Stewart, Sam	400	132600077	400 IM LCM	21	4:13.65	4:13.65	2019 Summer Nationals (LCM)	2018 Summer Nationals	7/27/2018	Unattached	ST		1023	76	m
21	Szaranek, Mark	400	129637827	400 IM LCM	22	4:13.72	4:13.72	2019 Summer Nationals (LCM)	2018 Commonwealth Games	4/6/2018	Unattached	FL	Yes	1022	76	m
22	DeVine, Abrahm	400	132598354	400 IM LCM	21	4:13.77	4:13.77	2019 Summer Nationals (LCM)	2018 Summer Nationals	7/27/2018	Stanford Swimming	PC		1022	76	m
23	Roberts, Jonathan	400	121649737	400 IM LCM	21	4:14.93	4:14.93	2019 Summer Nationals (LCM)	2017 U.S. Open	8/4/2017	North Texas Nadadores	NT		1010	76	m
24	Foster, Jake	400	143736806	400 IM LCM	18	4:15.03	4:15.03	2020 Olympic Trials	2019 Summer Nationals	8/2/2019	Mason Manta Rays	OH		1009	76	m
25	Smith, Kieran	400	143736871	400 IM LCM	19	4:15.17	4:15.17	2020 Olympic Trials	2019 Summer Nationals	8/2/2019	Ridgefield Aquatic Club	CT		1008	76	m
26	Dwyer, Conor	400	75618079	400 IM LCM	24	4:15.39	4:15.39	2017 US Open	2013 Pro Series - Santa Clara 	5/30/2013	Unattached	IL		1006	76	m
27	Harris, Tyler	400	58355783	400 IM LCM	22	4:15.40	4:15.40	2020 Olympic Trials	2011 WUGS	8/14/2011	Poseidon Swimming Inc	VA		1006	76	m
28	Margalis, Robert	400	49216440	400 IM LCM	28	4:15.62	4:15.62	2020 Olympic Trials	2010 Summer Nationals	8/3/2010	FAST Swim Team	CA		1004	76	m
29	Wang, Tommy	400	133004829	400 IM LCM	19	4:15.86	4:15.86	2019 Summer Nationals (LCM)	Hong Kong Open Swimming Championship	8/11/2018	Mesa Aquatics Club	AZ	Yes	1001	76	m
30	Seliskar, Andrew	400	88630648	400 IM LCM	17	4:16.05	4:16.05	2020 Olympic Trials	2014 Jr Pan Pacific Championships	8/27/2014	Nation's Capital Swim Club	PV		999	76	m
31	Gemmell, Andrew	400	66512177	400 IM LCM	21	4:16.07	4:16.07	2017 US Open	2012 Olympic Trials	6/25/2012	Delaware Swim Team	MA		999	76	m
31	Schmuhl, Stephen	400	77837562	400 IM LCM	20	4:16.07	4:16.07	2017 US Open	2013 U.S. Open 	7/30/2013	Indiana University	IN		999	76	m
33	Vanderkaay, Peter	400	65054931	400 IM LCM	28	4:16.22	4:16.22	2017 US Open	2012 Pro Series - Charlotte 	5/10/2012	Oakland Live Y'ers	MI		998	76	m
34	Ipsen, Anton	400	140359572	400 IM LCM	24	4:16.34	4:16.34	2020 Olympic Trials	2019 Danish Open	4/5/2019	Wolfpack Elite	NC	Yes	997	76	m
35	Fujimori, Takeharu	400	130478721	400 IM LCM	24	4:16.60	4:16.60	2019 Summer Nationals (LCM)	Japan Open 2018 (50m)	5/24/2018	Unattached	AZ	Yes	994	76	m
36	Louser, Jason	400	143945789	400 IM LCM	18	4:16.66	4:16.66	2020 Olympic Trials	2019 World JR Champs	8/24/2019	Unattached	MR		993	76	m
37	Arroyo, Jarod	400	148228820	400 IM LCM	19	4:16.67	4:16.67	2020 Olympic Trials	2020 Pro Series - Knoxville	1/17/2020	Pitchfork Aquatics	AZ	Yes	993	76	m
38	Peribonio, Tom	400	140435712	400 IM LCM	23	4:16.87	4:16.87	2020 Olympic Trials	2019 Pro Series - Richmond	4/11/2019	Gator Swim Club	FL	Yes	991	76	m
39	Williamson, Max	400	98759511	400 IM LCM	20	4:16.91	4:16.91	2020 Olympic Trials	2015 Pan American Games	7/16/2015	Unattached	PC		991	76	m
40	Calvillo, Mikey	400	143736783	400 IM LCM	18	4:16.98	4:16.98	2020 Olympic Trials	2019 Summer Nationals	8/2/2019	Indiana University	IN		990	76	m
41	Julian, Trenton	400	132598991	400 IM LCM	19	4:17.03	4:17.03	2019 Summer Nationals (LCM)	2018 Summer Nationals	7/27/2018	Rose Bowl Aquatics	CA		990	76	m
41	Patrick, Todd	400	49216847	400 IM LCM	25	4:17.03	4:17.03	2020 Olympic Trials	2010 Summer Nationals	8/3/2010	North Baltimore Aquatic Club	MD		990	76	m
41	Rogan, Markus	400	60389517	400 IM LCM	29	4:17.03	4:17.03	2020 Olympic Trials	Open Dutch Championships	12/2/2011	Unattached	CA	Yes	990	76	m
44	Cseh, Laszlo	400	86652379	400 IM LCM	28	4:17.19	4:17.19	2017 US Open	XXXIIe Meeting International de Montecarlo	6/7/2014	Unattached	NC	Yes	988	76	m
45	Solaeche, Eduardo	400	78094642	400 IM LCM	19	4:17.21	4:17.21	2017 US Open	Spanish Summer Championships	8/8/2013	Unattached	FL	Yes	988	76	m
46	Fujimori, Hiromasa	400	131668093	400 IM LCM	26	4:17.57	4:17.57	2019 Summer Nationals (LCM)	2018 Pro Series - Columbus 	7/7/2018	Phoenix Swim Club	AZ	Yes	985	76	m
47	Meyer, Michael	400	88614376	400 IM LCM	21	4:17.62	4:17.62	2020 Olympic Trials	2014 Pan Pacific Champs	8/21/2014	Tucson Ford Dealers Aquatics	AZ	Yes	984	76	m
48	Helmbacher, Samy	400	140506602	400 IM LCM	20	4:17.78	4:17.78	2020 Olympic Trials	2019 French Elite Champs	4/16/2019	University of Pittsburgh	AM	Yes	983	76	m
48	Ogren, Curtis	400	88513211	400 IM LCM	18	4:17.78	4:17.78	2020 Olympic Trials	2014 Summer Nationals	8/6/2014	Palo Alto Stanford Aquatics	PC		983	76	m
50	Hinshaw, Adam	400	67748279	400 IM LCM	18	4:17.91	4:17.91	2017 US Open	2012 U.S. Open 	8/7/2012	Palo Alto Stanford Aquatics	PC		981	76	m
51	Sos, Daniel	400	130072927	400 IM LCM	19	4:18.12	4:18.12	2019 Summer Nationals (LCM)	2018 Pro Series - Indianapolis	5/18/2018	Unattached	KY	Yes	979	76	m
52	Sanders, Grant	400	143736863	400 IM LCM	22	4:18.28	4:18.28	2020 Olympic Trials	2019 Summer Nationals	8/2/2019	Saint Petersburg Aquatics	FL		978	76	m
53	Okubo, Corey	400	88513709	400 IM LCM	18	4:18.43	4:18.43	2020 Olympic Trials	2014 Summer Nationals	8/6/2014	Aquazot Swim Club	CA		976	76	m
54	Barta, Marci	400	109450241	400 IM LCM	16	4:18.51	4:18.51	2019 Summer Nationals (LCM)	2016 European Jr Champs	7/10/2016	Unattached	US	Yes	976	76	m
55	Vargas, Kevin	400	132600244	400 IM LCM	17	4:18.58	4:18.58	2019 Summer Nationals (LCM)	2018 Summer Nationals	7/27/2018	La Mirada Armada	CA		975	76	m
56	Omana, Carlos	400	76544845	400 IM LCM	20	4:18.59	4:18.59	2017 US Open	2013 Summer Nationals	6/25/2013	Metro Aquatic Club of Miami	FG	Yes	975	76	m
57	Whitaker, Kyle	400	76540693	400 IM LCM	21	4:18.65	4:18.65	2017 US Open	2013 Summer Nationals	6/25/2013	Univ. Of Michigan Swim Team	MI		974	76	m
58	Gonzalez, Hugo	400	132756263	400 IM LCM	19	4:18.66	4:18.66	2019 Summer Nationals (LCM)	Campeonato de Espana Absoluto/Junior de Verano	7/12/2018	Unattached	SE	Yes	974	76	m
58	McHugh, Sam	400	120295637	400 IM LCM	21	4:18.66	4:18.66	2019 Summer Nationals (LCM)	2017 Summer Nationals	6/29/2017	Tennessee Aquatics	SE		974	76	m
60	Ally, Bradley	400	65616841	400 IM LCM	25	4:18.80	4:18.80	2017 US Open	2012 ST TXLA Elite Invite	6/1/2012	Unattached	MI	Yes	973	76	m
61	Giller, Robby	400	132598639	400 IM LCM	19	4:19.06	4:19.06	2019 Summer Nationals (LCM)	2018 Summer Nationals	7/27/2018	Cavalier Swimming	VA		970	76	m
62	Khosla, Raunak	400	143736826	400 IM LCM	19	4:19.12	4:19.12	2020 Olympic Trials	2019 Summer Nationals	8/2/2019	Dynamo Swim Club	GA		970	76	m
63	Tranter, Daniel	400	107042204	400 IM LCM	24	4:19.31	4:19.31	2020 Olympic Trials	2016 Australian Champs	4/7/2016	North Baltimore Aquatic Club	MD	Yes	968	76	m
64	Snyder, Austin	400	99545169	400 IM LCM	21	4:19.33	4:19.33	2020 Olympic Trials	2015 U.S. Nats Time Trials	8/6/2015	Unattached	NC		968	76	m
65	Brown, Jack	400	58250397	400 IM LCM	23	4:19.39	4:19.39	2020 Olympic Trials	2011 Summer Nationals	8/2/2011	University of Missouri Swim Team	MV		967	76	m
66	Abruzzo, Andrew	400	132597771	400 IM LCM	18	4:19.49	4:19.49	2019 Summer Nationals (LCM)	2018 Summer Nationals	7/27/2018	Plymouth Whitemarsh Aquatics	MA		966	76	m
67	Tikhonov, Alexander	400	76336707	400 IM LCM	25	4:19.52	4:19.52	2017 US Open	Russian National Swimming Championships	6/16/2013	Unattached	CA	Yes	966	76	m
68	Martens, John	400	99509701	400 IM LCM	21	4:19.55	4:19.55	2020 Olympic Trials	2015 Summer Nationals	8/6/2015	Longhorn Aquatics	ST		966	76	m
69	Daly, Michael	400	143734243	400 IM LCM	19	4:19.58	4:19.58	2020 Olympic Trials	2019 Summer Nationals	8/2/2019	Penn State University	MA		965	76	m
70	Graviss, Daniel	400	88513624	400 IM LCM	20	4:19.76	4:19.76	2020 Olympic Trials	2014 Summer Nationals	8/6/2014	U. of Missouri	MV	Yes	964	76	m
71	Heasley, Ethan	400	133051264	400 IM LCM	17	4:19.81	4:19.81	2019 Summer Nationals (LCM)	2018 Jr Pan Pacific Champs	8/24/2018	Hillsboro Swim Team	OR		963	76	m
72	Wold, Alex	400	66514609	400 IM LCM	24	4:19.84	4:19.84	2017 US Open	2012 Olympic Trials	6/25/2012	Santa Clara Swim Club	PC		963	76	m
73	Switkowski, Jan	400	107959787	400 IM LCM	22	4:19.87	4:19.87	2020 Olympic Trials	Polish Championships	5/28/2016	Unattached	FL	Yes	963	76	m
74	Thompson, Austen	400	58253631	400 IM LCM	20	4:19.88	4:19.88	2020 Olympic Trials	2011 Summer Nationals	8/2/2011	Tucson Ford Dealers Aquatics	AZ		963	76	m
75	Forde, Clayton	400	132598552	400 IM LCM	21	4:19.94	4:19.94	2019 Summer Nationals (LCM)	2018 Summer Nationals	7/27/2018	Lakeside Swim Team	KY		962	76	m
76	Andrew, Mark	400	120295528	400 IM LCM	20	4:19.98	4:19.98	2019 Summer Nationals (LCM)	2017 Summer Nationals	6/29/2017	YMCA of the Triangle Area Swim Team	NC		962	76	m
76	Vargas Jacobo, Ricardo	400	132867847	400 IM LCM	20	4:19.98	4:19.98	2019 Summer Nationals (LCM)	Juegos Deportivos Centroamericanos Y Del Caribe	7/25/2018	Unattached	MI	Yes	962	76	m
78	Green, Connor	400	77906508	400 IM LCM	17	4:20.29	4:20.29	2017 US Open	2013 Summer Junior Nats 	8/5/2013	Bluefish Swim Club	NE		959	76	m
78	Owen, Robert	400	109039811	400 IM LCM	20	4:20.29	4:20.29	2019 Summer Nationals (LCM)	2016 Olympic Trials 	6/26/2016	H2okie Aquatics	VA		959	76	m
80	Storch, Casey	400	143736874	400 IM LCM	20	4:20.35	4:20.35	2020 Olympic Trials	2019 Summer Nationals	8/2/2019	Cavalier Swimming	VA		958	76	m
81	Cregar, Bill	400	49215214	400 IM LCM	21	4:20.39	4:20.39	2020 Olympic Trials	2010 Summer Nationals	8/3/2010	Athens Bulldog Swim Club	GA		958	76	m
82	Casey, Brendan	400	132598156	400 IM LCM	21	4:20.51	4:20.51	2019 Summer Nationals (LCM)	2018 Summer Nationals	7/27/2018	Cavalier Swimming	VA		957	76	m
82	Perera, Nicholas	400	143734431	400 IM LCM	19	4:20.51	4:20.51	2020 Olympic Trials	2019 Summer Nationals	8/2/2019	University Of Alabama Swim Club	SE		957	76	m
84	Caldwell, Nicholas	400	49282910	400 IM LCM	17	4:20.55	4:20.55	2020 Olympic Trials	2010 Summer Junior Nats	8/9/2010	Sarasota YMCA Sharks	FL		956	76	m
85	Vanderkaay, Alex	400	49217641	400 IM LCM	24	4:20.63	4:20.63	2020 Olympic Trials	2010 Summer Nationals	8/3/2010	Club Wolverine	MI		955	76	m
86	Palazzo, Ross	400	143734426	400 IM LCM	23	4:20.64	4:20.64	2020 Olympic Trials	2019 Summer Nationals	8/2/2019	Hudson Explorer Aquatic	LE		955	76	m
87	Stewart, Ty	400	67829778	400 IM LCM	18	4:20.66	4:20.66	2017 US Open	2012 Jr Pan Pacific	8/23/2012	YMCA Hub Fins	MS		955	76	m
88	Licon, Will	400	99509633	400 IM LCM	20	4:20.70	4:20.70	2020 Olympic Trials	2015 Summer Nationals	8/6/2015	Nitro Swimming	ST		955	76	m
89	Rainey, Ian	400	88375971	400 IM LCM	18	4:20.72	4:20.72	2020 Olympic Trials	2014 Summer Junior Nats	7/30/2014	Wilton Y Wahoos Swim Club	CT		955	76	m
90	Morris, Brennan	400	49216647	400 IM LCM	19	4:20.77	4:20.77	2020 Olympic Trials	2010 Summer Nationals	8/3/2010	North Baltimore Aquatic Club	MD		954	76	m
91	Signorin, Connor	400	87606882	400 IM LCM	22	4:20.80	4:20.80	2019 Summer Nationals (LCM)	2014 FL SZS Summer Sectionals	7/10/2014	Peddie Aquatic Association	NJ		954	76	m
92	Van Overdam, Austin	400	88376002	400 IM LCM	18	4:20.90	4:20.90	2020 Olympic Trials	2014 Summer Junior Nats	7/30/2014	Cypress Fairbanks Swim Club	GU		953	76	m
93	Gurevich, Etay	400	129670303	400 IM LCM	22	4:20.94	4:20.94	2019 Summer Nationals (LCM)	Israel Swimming Cup 2018	4/28/2018	Unattached	KY	Yes	952	76	m
94	Thorne, Nick	400	120295705	400 IM LCM	21	4:20.95	4:20.95	2019 Summer Nationals (LCM)	2017 Summer Nationals	6/29/2017	Tucson Ford Dealers Aquatics	AZ		952	76	m
95	Surhoff, Austin	400	49217479	400 IM LCM	19	4:20.96	4:20.96	2020 Olympic Trials	2010 Summer Nationals	8/3/2010	Longhorn Aquatics	ST		952	76	m
96	Hyogo, Kei	400	108056238	400 IM LCM	20	4:20.97	4:20.97	2020 Olympic Trials	2016 ST TXLA Longhorn Aquatics Elite Invite	6/4/2016	Yale University	CT	Yes	952	76	m
97	Darragh, Mack	400	77829182	400 IM LCM	19	4:20.98	4:20.98	2017 US Open	2013 U.S. Open 	7/30/2013	U. of Missouri	MV	Yes	952	76	m
