result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
1	Ledecky, Katie	500	117661338	500 FR SCY	19	4:24.06	4:24.06	2019 Summer Nationals (LCM)	2017 NCAA DI - Women	3/16/2017	Unattached	PC		1128	4	f
2	Smith, Leah	500	117661356	500 FR SCY	21	4:28.90	4:28.90	2019 Summer Nationals (LCM)	2017 NCAA DI - Women	3/16/2017	Unattached	VA		1070	4	f
3	Forde, Brooke	500	140033062	500 FR SCY	20	4:31.34	4:31.34	2019 Summer Nationals (LCM)	2019 NCAA DI - Women	3/21/2019	Unattached	PC		1042	4	f
4	Runge, Cierra	500	94701531	500 FR SCY	18	4:31.90	4:31.90	2019 Summer Nationals (LCM)	2015 PAC-12 Champs women	2/26/2015	Unattached	PC		1035	4	f
5	Schmitt, Allison	500	95043186	500 FR SCY	24	4:32.08	4:32.08	2019 Summer Nationals (LCM)	2015 ST American Short Course Cha	3/5/2015	North Baltimore Aquatic Club	MD		1033	4	f
6	Franklin, Missy	500	84808666	500 FR SCY	18	4:32.66	4:32.66	2017 US Open	2014 NCAA DI - Women	3/20/2014	Unattached	PC		1027	4	f
7	Eastin, Ella	500	139307577	500 FR SCY	21	4:32.89	4:32.89	2019 Summer Nationals (LCM)	2019 PAC 12 Champs women	2/28/2019	Unattached	PC		1024	4	f
8	Henry, Sarah	500	69573437	500 FR SCY	20	4:33.07	4:33.07	2017 US Open	2012 UH Phill Hansel Inv	11/15/2012	Unattached	GU		1022	4	f
9	Flickinger, Hali	500	106561545	500 FR SCY	21	4:33.35	4:33.35	2019 Summer Nationals (LCM)	2016 NCAA DI - Women	3/17/2016	Unattached	GA		1019	4	f
10	Friis, Lotte	500	95042161	500 FR SCY	27	4:33.47	4:33.47	2019 Summer Nationals (LCM)	2015 ST American Short Course Cha	3/5/2015	North Baltimore Aquatic Club	MD	Yes	1017	4	f
11	Nordin, Emma	500	150193774	500 FR SCY	20	4:33.74	4:33.74	2019 Summer Nationals (LCM)	2020 PAC-12 Champs women	2/27/2020	Unattached	AZ		1014	4	f
12	McDermott, Amber	500	84808687	500 FR SCY	21	4:33.97	4:33.97	2017 US Open	2014 NCAA DI - Women	3/20/2014	Unattached	GA		1011	4	f
13	Ryan, G	500	113222215	500 FR SCY	21	4:34.28	4:34.28	2019 Summer Nationals (LCM)	UGA Fall Invitational 2016	12/2/2016	Unattached	MI		1008	4	f
14	Pitzer, Lauren	500	139307615	500 FR SCY	20	4:34.30	4:34.30	2019 Summer Nationals (LCM)	2019 PAC 12 Champs women	2/28/2019	Unattached	PC		1008	4	f
15	Peacock, Stephanie	500	70150520	500 FR SCY	20	4:34.42	4:34.42	2017 US Open	Ohio State Invitational	11/30/2012	Unattached	FL		1006	4	f
16	Neidigh, Ashley	500	124374527	500 FR SCY	22	4:34.47	4:34.47	2019 Summer Nationals (LCM)	2017 Winter Nationals	11/30/2017	Unattached	IN		1006	4	f
17	Anderson, Haley	500	64238498	500 FR SCY	20	4:34.48	4:34.48	2019 Winter US Open (LCM)	2012 NCAA DI - Women	3/15/2012	Unattached	CA		1006	4	f
18	Vreeland, Shannon	500	64239280	500 FR SCY	20	4:34.49	4:34.49	2019 Winter US Open (LCM)	2012 NCAA DI - Women	3/15/2012	Unattached	GA		1006	4	f
19	Beisel, Elizabeth	500	70148396	500 FR SCY	20	4:34.54	4:34.54	2017 US Open	Ohio State Invitational	11/30/2012	Unattached	FL		1005	4	f
20	Bi, Rose	500	113217166	500 FR SCY	20	4:34.63	4:34.63	2019 Summer Nationals (LCM)	UGA Fall Invitational 2016	12/2/2016	Unattached	MI	Yes	1004	4	f
21	Madden, Paige	500	146170166	500 FR SCY	21	4:34.64	4:34.64	2019 Summer Nationals (LCM)	2019 UT Invite	11/21/2019	Unattached	SE		1004	4	f
22	Mann, Becca	500	95042673	500 FR SCY	17	4:34.77	4:34.77	2019 Summer Nationals (LCM)	2015 ST American Short Course Cha	3/5/2015	North Baltimore Aquatic Club	MD		1014	4	f
23	Drabot, Katie	500	128781693	500 FR SCY	20	4:34.86	4:34.86	2019 Summer Nationals (LCM)	2018 NCAA DI - Women	3/15/2018	Unattached	PC		1001	4	f
23	Lips, Haley	500	106561556	500 FR SCY	22	4:34.86	4:34.86	2019 Summer Nationals (LCM)	2016 NCAA DI - Women	3/17/2016	Unattached	IN		1001	4	f
25	Evans, Joanna	500	124374758	500 FR SCY	20	4:35.05	4:35.05	2019 Summer Nationals (LCM)	Texas Hall of Fame Swimming In	11/30/2017	Unattached	ST	Yes	999	4	f
26	Vrooman, Lindsay	500	73488709	500 FR SCY	21	4:35.41	4:35.41	2017 US Open	2013 B1G 10 Champs women	2/20/2013	Unattached	IN		995	4	f
27	Brandon, Bonnie	500	80515253	500 FR SCY	19	4:35.43	4:35.43	2017 US Open	2013 UT Invite	12/5/2013	Unattached	AZ		995	4	f
