="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id"
="1","Murphy, Ryan",="200",="106781666",="200 BK SCY",="20",="1:35.73",="1:35.73",="2019 Summer Nationals (LCM)",="2016 NCAA DI - Men",="3/26/2016",="Unattached",="PC",="",="1166",="13"
="2","Shebat, John",="200",="140252815",="200 BK SCY",="22",="1:36.42",="1:36.42",="2019 Summer Nationals (LCM)",="2019 NCAA DI - Men",="3/30/2019",="Unattached",="ST",="",="1148",="13"
="3","Katz, Austin",="200",="140252777",="200 BK SCY",="20",="1:36.45",="1:36.45",="2019 Summer Nationals (LCM)",="2019 NCAA DI - Men",="3/30/2019",="Unattached",="ST",="",="1148",="13"
="4","Casas, Shaine",="200",="149876714",="200 BK SCY",="20",="1:37.20",="1:37.20",="2019 Summer Nationals (LCM)",="2020 SEC Champs",="2/22/2020",="Unattached",="GU",="",="1129",="13"
="5","Stewart, Coleman",="200",="150195281",="200 BK SCY",="21",="1:37.71",="1:37.71",="2019 Summer Nationals (LCM)",="2020 ACC Champs men",="2/29/2020",="Unattached",="NC",="",="1116",="13"
="6","Carr, Daniel",="200",="150587241",="200 BK SCY",="21",="1:37.87",="1:37.87",="2019 Summer Nationals (LCM)",="2020 PAC-12 Champs  men",="3/7/2020",="Unattached",="PC",="",="1112",="13"
="6","Vyatchanin, Arkady",="200",="80540896",="200 BK SCY",="29",="1:37.87",="1:37.87",="2017 US Open",="2013 Winter Nationals",="12/5/2013",="New York Athletic Club",="MR",="Yes",="1112",="13"
="8","Godsoe, Eugene",="200",="70950662",="200 BK SCY",="24",="1:38.21",="1:38.21",="2017 US Open",="2012 OK Elite Meet ",="12/13/2012",="Stanford Swimming",="PC",="",="1104",="13"
="9","Teduits, Drew",="200",="74578496",="200 BK SCY",="19",="1:38.27",="1:38.27",="2017 US Open",="2013 NCAA DI - Men ",="3/28/2013",="Unattached",="WI",="",="1103",="13"
="10","Mefford, Bryce",="200",="128977679",="200 BK SCY",="19",="1:38.48",="1:38.48",="2019 Summer Nationals (LCM)",="2018 NCAA DI - Men",="3/24/2018",="Unattached",="PC",="",="1097",="13"
="11","Pebley, Jacob",="200",="106781673",="200 BK SCY",="22",="1:38.50",="1:38.50",="2019 Summer Nationals (LCM)",="2016 NCAA DI - Men",="3/26/2016",="Unattached",="PC",="",="1097",="13"
="12","Stuart, Hennessey",="200",="106781690",="200 BK SCY",="20",="1:38.56",="1:38.56",="2019 Summer Nationals (LCM)",="2016 NCAA DI - Men",="3/26/2016",="Unattached",="NC",="",="1096",="13"
="13","Harty, Ryan",="200",="139318301",="200 BK SCY",="22",="1:38.61",="1:38.61",="2019 Summer Nationals (LCM)",="2019 Big 12 Champs",="3/2/2019",="Unattached",="ST",="",="1094",="13"
="14","Roberts, Jonathan",="200",="128977694",="200 BK SCY",="22",="1:38.64",="1:38.64",="2019 Summer Nationals (LCM)",="2018 NCAA DI - Men",="3/24/2018",="Unattached",="ST",="",="1094",="13"
="15","Ress, Eric",="200",="84979903",="200 BK SCY",="23",="1:38.69",="1:38.69",="2017 US Open",="2014 NCAA DI - Men",="3/27/2014",="Unattached",="IN",="Yes",="1092",="13"
="16","Conger, Jack",="200",="70756521",="200 BK SCY",="18",="1:38.75",="1:38.75",="2017 US Open",="2012 PV Tom Dolan Invitational",="12/6/2012",="Rockville Montgomery Swim Club",="PV",="",="1091",="13"
="17","Lehane, Sean",="200",="95704959",="200 BK SCY",="20",="1:38.76",="1:38.76",="2019 Summer Nationals (LCM)",="2015 NCAA DI - Men",="3/28/2015",="Unattached",="SE",="",="1091",="13"
="18","Chitwood, Cory",="200",="60333310",="200 BK SCY",="22",="1:38.85",="1:38.85",="2019 Winter US Open (LCM)",="2011 UT Invite",="12/1/2011",="Unattached",="AZ",="",="1088",="13"
="19","Reilman, Joey",="200",="138931917",="200 BK SCY",="21",="1:38.97",="1:38.97",="2019 Summer Nationals (LCM)",="2019 SEC Champs",="2/23/2019",="Unattached",="SE",="",="1085",="13"
="20","Tarasevich, Grigory",="200",="117082122",="200 BK SCY",="21",="1:39.05",="1:39.05",="2019 Summer Nationals (LCM)",="2017 ACC Champs men",="3/2/2017",="Unattached",="KY",="Yes",="1084",="13"
="21","Poti, Zachary",="200",="140251354",="200 BK SCY",="20",="1:39.09",="1:39.09",="2019 Summer Nationals (LCM)",="2019 NCAA DI - Men",="3/30/2019",="Unattached",="AZ",="",="1083",="13"
