="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id"
="1","Phelps, Michael",="200",="99509863",="200 FL LCM",="30",="1:52.94",="1:52.94",="2020 Olympic Trials",="2015 Summer Nationals",="8/7/2015",="North Baltimore Aquatic Club",="MD",="",="1065",="73"
="2","Urlando, Luca",="200",="141910535",="200 FL LCM",="17",="1:53.84",="1:53.84",="2020 Olympic Trials",="2019 Pro Series - Clovis",="6/14/2019",="DART Swimming",="SN",="",="1055",="73"
="3","Conger, Jack",="200",="120205925",="200 FL LCM",="22",="1:54.47",="1:54.47",="2019 Summer Nationals (LCM)",="2017 Summer Nationals",="6/27/2017",="Nation's Capital Swim Club",="PV",="",="1034",="73"
="4","Clark, Pace",="200",="120205920",="200 FL LCM",="23",="1:54.58",="1:54.58",="2019 Summer Nationals (LCM)",="2017 Summer Nationals",="6/27/2017",="Athens Bulldog Swim Club",="GA",="",="1032",="73"
="5","Wright, Justin",="200",="132600376",="200 FL LCM",="22",="1:54.63",="1:54.63",="2019 Summer Nationals (LCM)",="2018 Summer Nationals",="7/25/2018",="Tucson Ford Dealers Aquatics",="AZ",="",="1031",="73"
="6","Wu, Peng",="200",="57940321",="200 FL LCM",="24",="1:54.67",="1:54.67",="2020 Olympic Trials",="2011 World Champs",="7/24/2011",="Unattached",="MI",="Yes",="1030",="73"
="7","Kalisz, Chase",="200",="120205988",="200 FL LCM",="23",="1:54.79",="1:54.79",="2019 Summer Nationals (LCM)",="2017 Summer Nationals",="6/27/2017",="North Baltimore Aquatic Club",="MD",="",="1028",="73"
="8","Burdisso, Federico",="200",="150888925",="200 FL LCM",="18",="1:54.83",="1:54.83",="2020 Olympic Trials",="2020 Sette Colli Trophy",="8/11/2020",="Northwestern University ST",="IL",="Yes",="1027",="73"
="9","Clary, Tyler",="200",="67543841",="200 FL LCM",="23",="1:54.93",="1:54.93",="2017 US Open",="2012 Olympic Games",="7/28/2012",="FAST Swim Team",="CA",="",="1025",="73"
="10","Harting, Zach",="200",="132972696",="200 FL LCM",="20",="1:55.05",="1:55.05",="2019 Summer Nationals (LCM)",="2018 Pan Pacific Champs",="8/10/2018",="Unattached",="KY",="",="1023",="73"
="11","Shields, Tom",="200",="88506749",="200 FL LCM",="23",="1:55.09",="1:55.09",="2020 Olympic Trials",="2014 Summer Nationals",="8/6/2014",="California Aquatics",="PC",="",="1022",="73"
="12","Chen, Yin",="200",="51641537",="200 FL LCM",="24",="1:55.29",="1:55.29",="2020 Olympic Trials",="2010 Asain Games",="11/13/2010",="Unattached",="NM",="Yes",="1018",="73"
="13","Bentz, Gunnar",="200",="120205901",="200 FL LCM",="21",="1:55.51",="1:55.51",="2019 Summer Nationals (LCM)",="2017 Summer Nationals",="6/27/2017",="Athens Bulldog Swim Club",="GA",="",="1014",="73"
="14","Luchsinger, Tom",="200",="76478160",="200 FL LCM",="22",="1:55.57",="1:55.57",="2017 US Open",="2013 Summer Nationals",="6/25/2013",="Unattached",="MR",="",="1012",="73"
="15","Rousseau, Sebastien",="200",="77808172",="200 FL LCM",="22",="1:55.64",="1:55.64",="2017 US Open",="2013 U.S. Open ",="7/30/2013",="Gator Swim Club",="FL",="Yes",="1011",="73"
