="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id"
="1","Agnel, Yannick",="200",="77790247",="200 FR LCM",="21",="1:44.20",="1:44.20",="2019 Summer Nationals (LCM)",="2013 World Champs",="7/28/2013",="Unattached",="MD",="Yes",="1081",="57"
="2","Lochte, Ryan",="200",="57939339",="200 FR LCM",="26",="1:44.44",="1:44.44",="2020 Olympic Trials",="2011 World Champs",="7/24/2011",="Unattached",="FL",="",="1075",="57"
="3","Phelps, Michael",="200",="57939697",="200 FR LCM",="26",="1:44.79",="1:44.79",="2020 Olympic Trials",="2011 World Champs",="7/24/2011",="Unattached",="MD",="",="1066",="57"
="4","Haas, Townley",="200",="120256754",="200 FR LCM",="20",="1:45.03",="1:45.03",="2019 Summer Nationals (LCM)",="2017 Summer Nationals",="6/28/2017","NOVA of Virginia Aquatics, Inc",="VA",="",="1059",="57"
="5","Dwyer, Conor",="200",="110494991",="200 FR LCM",="27",="1:45.23",="1:45.23",="2019 Summer Nationals (LCM)",="2016 Olympic Games",="8/8/2016",="Trojan Swim Club",="CA",="",="1054",="57"
="6","Seliskar, Andrew",="200",="132599926",="200 FR LCM",="21",="1:45.70",="1:45.70",="2019 Summer Nationals (LCM)",="2018 Summer Nationals",="7/26/2018",="California Aquatics",="PC",="",="1042",="57"
="7","Conger, Jack",="200",="109106013",="200 FR LCM",="21",="1:45.77",="1:45.77",="2019 Summer Nationals (LCM)",="2016 Olympic Trials ",="6/28/2016",="Nation's Capital Swim Club",="PV",="",="1040",="57"
="8","Pieroni, Blake",="200",="132599651",="200 FR LCM",="22",="1:45.93",="1:45.93",="2019 Summer Nationals (LCM)",="2018 Summer Nationals",="7/26/2018",="Mission Viejo Nadadores",="CA",="",="1036",="57"
="9","Smith, Kieran",="200",="143723675",="200 FR LCM",="19",="1:46.21",="1:46.21",="2020 Olympic Trials",="2019 Summer Nationals",="8/1/2019",="Ridgefield Aquatic Club",="CT",="",="1029",="57"
="10","Lobintsev, Nikita",="200",="77478189",="200 FR LCM",="24",="1:46.30",="1:46.30",="2019 Summer Nationals (LCM)",="2013 WUGS",="7/10/2013",="Unattached",="CA",="Yes",="1026",="57"
="11","Grothe, Zane",="200",="120256752",="200 FR LCM",="25",="1:46.39",="1:46.39",="2019 Summer Nationals (LCM)",="2017 Summer Nationals",="6/28/2017","Badger Swim Club,Inc.",="MR",="",="1024",="57"
="11","Levant, Jack",="200",="132599216",="200 FR LCM",="18",="1:46.39",="1:46.39",="2019 Summer Nationals (LCM)",="2018 Summer Nationals",="7/26/2018",="North Texas Nadadores",="NT",="",="1024",="57"
="13","De Lucca, Joao",="200",="98741404",="200 FR LCM",="25",="1:46.42",="1:46.42",="2020 Olympic Trials",="2015 Pan American Games",="7/15/2015",="Unattached",="KY",="Yes",="1023",="57"
="14","Farris, Dean",="200",="143732078",="200 FR LCM",="21",="1:46.45",="1:46.45",="2020 Olympic Trials",="2019 Summer Nationals",="8/1/2019",="Harvard Swimming",="NE",="",="1023",="57"
="14","Vanderkaay, Peter",="200",="58253760",="200 FR LCM",="27",="1:46.45",="1:46.45",="2020 Olympic Trials",="2011 Summer Nationals",="8/2/2011",="Oakland Live Y'ers",="MI",="",="1023",="57"
="16","Urlando, Luca",="200",="143732190",="200 FR LCM",="17",="1:46.51",="1:46.51",="2020 Olympic Trials",="2019 Summer Nationals",="8/1/2019",="DART Swimming",="SN",="",="1024",="57"
="17","Heidtmann, Jacob",="200",="133029708",="200 FR LCM",="23",="1:46.52r",="1:46.52",="2019 Summer Nationals (LCM)",="2018 European Champs ",="8/4/2018",="Unattached",="NC",="Yes",="1021",="57"
="18","Apple, Zach",="200",="133036670",="200 FR LCM",="21",="1:46.56",="1:46.56",="2019 Summer Nationals (LCM)",="2018 Pan Pacific Champs",="8/9/2018",="Unattached",="IN",="",="1020",="57"
="18","Berens, Ricky",="200",="66511309",="200 FR LCM",="24",="1:46.56",="1:46.56",="2017 US Open",="2012 Olympic Trials",="6/25/2012",="Trojan Swim Club",="CA",="",="1020",="57"
="20","Auboeck, Felix",="200",="150858868",="200 FR LCM",="23",="1:46.64",="1:46.64",="2020 Olympic Trials",="2020 4 Nations Meet",="7/24/2020",="Univ. Of Michigan Swim Team",="MI",="Yes",="1018",="57"
="21","Sukhorukov, Alexander",="200",="74806021",="200 FR LCM",="25",="1:46.66",="1:46.66",="2017 US Open",="Russian National Swimming Cup",="4/16/2013",="Unattached",="CA",="Yes",="1017",="57"
="22","Baqlah, Khader",="200",="133065801",="200 FR LCM",="19",="1:46.77",="1:46.77",="2019 Summer Nationals (LCM)",="2018 Asian Games Champs",="8/19/2018",="Unattached",="FL",="Yes",="1014",="57"
="23","McLean, Matt",="200",="66513229",="200 FR LCM",="24",="1:46.78",="1:46.78",="2017 US Open",="2012 Olympic Trials",="6/25/2012",="FAST Swim Team",="CA",="",="1014",="57"
="23","Rooney, Maxime",="200",="143732161",="200 FR LCM",="21",="1:46.78",="1:46.78",="2020 Olympic Trials",="2019 Summer Nationals",="8/1/2019",="Pleasanton Seahawks",="PC",="",="1014",="57"
="25","Houchin, Charlie",="200",="66512528",="200 FR LCM",="24",="1:46.88",="1:46.88",="2017 US Open",="2012 Olympic Trials",="6/25/2012",="Unattached",="NC",="",="1012",="57"
="26","Switkowski, Jan",="200",="120172193",="200 FR LCM",="23",="1:46.91",="1:46.91",="2019 Summer Nationals (LCM)",="Polish Championships 2017",="5/19/2017",="Unattached",="FL",="Yes",="1011",="57"
="27","Dreesens, Dion",="200",="107813038",="200 FR LCM",="23",="1:46.93r",="1:46.93",="2020 Olympic Trials",="2016 European Champs",="5/21/2016",="Queens University",="NC",="Yes",="1010",="57"
