="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id"
="1","Lochte, Ryan",="200",="57940583",="200 IM LCM",="26",="1:54.00",="1:54.00",="2020 Olympic Trials",="2011 World Champs",="7/24/2011",="Unattached",="FL",="",="1149",="75"
="2","Phelps, Michael",="200",="57939703",="200 IM LCM",="26",="1:54.16",="1:54.16",="2020 Olympic Trials",="2011 World Champs",="7/24/2011",="Unattached",="MD",="",="1146",="75"
="3","Kalisz, Chase",="200",="133036807",="200 IM LCM",="24",="1:55.40",="1:55.40",="2019 Summer Nationals (LCM)",="2018 Pan Pacific Champs",="8/11/2018",="Unattached",="GA",="",="1117",="75"
="4","Wang, Shun",="200",="144831877",="200 IM LCM",="25",="1:56.25",="1:56.25",="2020 Olympic Trials",="2019 7th CISM Military World Games",="10/19/2019",="Team Elite",="NC",="Yes",="1097",="75"
="5","Pereira, Thiago",="200",="99489291",="200 IM LCM",="29",="1:56.65",="1:56.65",="2020 Olympic Trials",="2015 World Champs",="8/6/2015",="Unattached",="CA",="Yes",="1088",="75"
="6","DeVine, Abrahm",="200",="120340765",="200 IM LCM",="20",="1:56.79",="1:56.79",="2019 Summer Nationals (LCM)",="2017 Summer Nationals",="7/1/2017",="Stanford Swimming",="PC",="",="1085",="75"
="7","Andrew, Michael",="200",="150586261",="200 IM LCM",="20",="1:56.83",="1:56.83",="2020 Olympic Trials",="2020 Pro Swim - Des Moines",="3/7/2020",="Race Pace Club",="SI",="",="1084",="75"
="8","Prenot, Josh",="200",="120340869",="200 IM LCM",="23",="1:57.14",="1:57.14",="2019 Summer Nationals (LCM)",="2017 Summer Nationals",="7/1/2017",="California Aquatics",="PC",="",="1077",="75"
="9","Dwyer, Conor",="200",="88528251",="200 IM LCM",="25",="1:57.41",="1:57.41",="2020 Olympic Trials",="2014 Summer Nationals",="8/6/2014",="North Baltimore Aquatic Club",="MD",="",="1071",="75"
="10","Foster, Carson",="200",="148831881",="200 IM LCM",="18",="1:57.59",="1:57.59",="2020 Olympic Trials",="2019 U.S. Open",="12/5/2019",="Mason Manta Rays",="OH",="",="1066",="75"
="10","Wallace, Dan",="200",="99489319",="200 IM LCM",="22",="1:57.59",="1:57.59",="2020 Olympic Trials",="2015 World Champs",="8/6/2015",="Unattached",="FL",="Yes",="1066",="75"
="12","Clary, Tyler",="200",="49336498",="200 IM LCM",="21",="1:57.61",="1:57.61",="2020 Olympic Trials",="2010 Pan Pacific Champs",="8/18/2010",="FAST Swim Team",="CA",="",="1066",="75"
="13","Pumputis, Caio",="200",="140558267",="200 IM LCM",="20",="1:57.70",="1:57.70",="2020 Olympic Trials",="2019 Brazil Trophy ",="4/20/2019",="Georgia Tech Swimming",="GA",="Yes",="1064",="75"
="14","Rogan, Markus",="200",="57939832",="200 IM LCM",="29",="1:57.74",="1:57.74",="2020 Olympic Trials",="2011 World Champs",="7/24/2011",="Unattached",="CA",="Yes",="1063",="75"
="15","Stewart, Sam",="200",="150549782",="200 IM LCM",="23",="1:57.76",="1:57.76",="2020 Olympic Trials",="2020 GU AGS Speedo Sectionals ",="3/1/2020",="Unattached",="MS",="",="1063",="75"
="16","Fujimori, Hiromasa",="200",="130354690",="200 IM LCM",="26",="1:57.91",="1:57.91",="2019 Summer Nationals (LCM)",="2018 Japan Open",="5/25/2018",="Phoenix Swim Club",="AZ",="Yes",="1059",="75"
="17","Vazaios, Andreas",="200",="149098699",="200 IM LCM",="23",="1:57.98",="1:57.98",="2019 Summer Nationals (LCM)",="2017 World Champs",="7/26/2017",="Unattached",="NC",="Yes",="1058",="75"
="18","Cseh, Laszlo",="200",="88604334",="200 IM LCM",="28",="1:58.00",="1:58.00",="2020 Olympic Trials",="2014 European Championships",="8/18/2014",="Unattached",="NC",="Yes",="1057",="75"
="19","Seliskar, Andrew",="200",="150586425",="200 IM LCM",="23",="1:58.01",="1:58.01",="2020 Olympic Trials",="2020 Pro Swim - Des Moines",="3/7/2020",="California Aquatics",="PC",="",="1057",="75"
="20","Gonzalez, Hugo",="200",="129408652",="200 IM LCM",="19",="1:58.03",="1:58.03",="2019 Summer Nationals (LCM)",="Campeonato de Espana Open de Primavera",="4/8/2018",="Unattached",="SE",="Yes",="1056",="75"
="21","Szaranek, Mark",="200",="132983717",="200 IM LCM",="22",="1:58.07",="1:58.07",="2019 Summer Nationals (LCM)",="2018 European Champs ",="8/5/2018",="Unattached",="FL",="Yes",="1056",="75"
="22","Lanza, Vini",="200",="129449786",="200 IM LCM",="21",="1:58.10",="1:58.10",="2019 Summer Nationals (LCM)",="Maria Lenk Trophy 2018",="4/18/2018",="Indiana  Swim Team",="IN",="Yes",="1055",="75"
="23","Cieslak, Marcin",="200",="99489232",="200 IM LCM",="23",="1:58.14",="1:58.14",="2020 Olympic Trials",="2015 World Champs",="8/6/2015",="Unattached",="FL",="Yes",="1054",="75"
="24","Nolan, David",="200",="109191400",="200 IM LCM",="23",="1:58.16",="1:58.16",="2019 Summer Nationals (LCM)",="2016 Olympic Trials ",="6/30/2016",="North Baltimore Aquatic Club",="MD",="",="1053",="75"
="25","Bentz, Gunnar",="200",="132717909",="200 IM LCM",="22",="1:58.23",="1:58.23",="2019 Summer Nationals (LCM)",="2018 Summer Nationals",="7/29/2018",="Dynamo Swim Club",="GA",="",="1052",="75"
="26","Licon, Will",="200",="99527852",="200 IM LCM",="20",="1:58.43",="1:58.43",="2020 Olympic Trials",="2015 Summer Nationals",="8/9/2015",="Nitro Swimming",="ST",="",="1047",="75"
="27","Litherland, Jay",="200",="120340833",="200 IM LCM",="21",="1:58.46",="1:58.46",="2019 Summer Nationals (LCM)",="2017 Summer Nationals",="7/1/2017",="Dynamo Swim Club",="GA",="",="1047",="75"
="28","Casas, Shaine",="200",="146291206",="200 IM LCM",="19",="1:58.54",="1:58.54",="2020 Olympic Trials",="Art Adamson Invitational",="11/21/2019",="Unattached",="GU",="",="1045",="75"
