="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id"
="1","Lochte, Ryan",="400",="52015036",="400 IM SCM",="26",="3:55.50",="3:55.50",="Summer Nationals (LCM)",="2010 SCM World Champs ",="12/15/2010",="Daytona Beach Swimming",="FL",="",="1157",="49"
="2","Mellouli, Ous",="400",="52014223",="400 IM SCM",="26",="3:57.40",="3:57.40",="Summer Nationals (LCM)",="2010 SCM World Champs ",="12/15/2010",="Trojan Swim Club",="CA",="Yes",="1137",="49"
="3","Clary, Tyler",="400",="52015022",="400 IM SCM",="21",="3:57.56",="3:57.56",="Summer Nationals (LCM)",="2010 SCM World Champs ",="12/15/2010",="FAST Swim Team",="CA",="",="1135",="49"
="4","Dwyer, Conor",="400",="77983054",="400 IM SCM",="24",="3:59.90",="3:59.90",="""AAAA""",="2013 World Cup - Berlin",="8/10/2013",="Unattached",="MD",="",="1111",="49"
="5","Wang, Shun",="400",="134999271",="400 IM SCM",="24",="3:59.99",="3:59.99",="""AAAA""",="2018 World Cup - Singapore",="11/17/2018",="Unattached",="NC",="Yes",="1110",="49"
="6","Phelps, Michael",="400",="58916446",="400 IM SCM",="26",="4:01.49",="4:01.49",="2019 Winter US Open (LCM)",="2011 World Cup - Berlin",="10/22/2011",="Unattached",="MD",="",="1095",="49"
="7","Prenot, Josh",="400",="113610988",="400 IM SCM",="23",="4:01.94",="4:01.94",="2019 Winter US Open (LCM)",="2016 SCM World Champs ",="12/10/2016",="Unattached",="PC",="",="1090",="49"
="8","Rousseau, Sebastien",="400",="91179825",="400 IM SCM",="24",="4:02.00",="4:02.00",="""AAAA""",="2014 SCM World Champs ",="12/4/2014",="Unattached",="FL",="Yes",="1090",="49"
="9","Kalisz, Chase",="400",="81307311",="400 IM SCM",="19",="4:02.40",="4:02.40",="""AAAA""",="2013 Duel in the Pool",="12/20/2013",="Unattached",="MD",="",="1086",="49"
="10","Seliskar, Andrew",="400",="145860387",="400 IM SCM",="23",="4:02.88",="4:02.88",="""AAAA""",="2019 ISL Series - College Park",="11/16/2019",="Unattached",="PC",="",="1081",="49"
="11","Fujimori, Hiromasa",="400",="134999175",="400 IM SCM",="27",="4:03.54",="4:03.54",="""AAAA""",="2018 World Cup - Singapore",="11/17/2018",="Unattached",="AZ",="Yes",="1074",="49"
="12","Wallace, Dan",="400",="102553875",="400 IM SCM",="22",="4:04.10",="4:04.10",="2019 Winter US Open (LCM)",="2015 Duel in the Pool",="12/11/2015",="Unattached",="FL",="Yes",="1069",="49"
="13","Litherland, Jay",="400",="145860367",="400 IM SCM",="24",="4:04.17",="4:04.17",="""AAAA""",="2019 ISL Series - College Park",="11/16/2019",="Unattached",="GA",="",="1068",="49"
="14","Szaranek, Mark",="400",="113611034",="400 IM SCM",="21",="4:04.57",="4:04.57",="2019 Winter US Open (LCM)",="2016 SCM World Champs ",="12/10/2016",="Unattached",="FL",="Yes",="1064",="49"
="15","Pereira, Thiago",="400",="50338432",="400 IM SCM",="24",="4:04.62",="4:04.62",="Summer Nationals (LCM)",="2010 World Cup - Stockholm",="11/6/2010",="Unattached",="CA",="Yes",="1063",="49"
="16","DeVine, Abrahm",="400",="113711944",="400 IM SCM",="20",="4:04.64",="4:04.64",="2019 Winter US Open (LCM)",="2016 SCM World Champs ",="12/10/2016",="Unattached",="PN",="",="1063",="49"
="17","Peribonio, Tom",="400",="136317332",="400 IM SCM",="22",="4:05.08",="4:05.08",="""AAAA""",="2018 SCM World Champs",="12/15/2018",="Gator Swim Club",="FL",="Yes",="1059",="49"
="18","Weiss, Michael",="400",="91108438",="400 IM SCM",="23",="4:05.37",="4:05.37",="""AAAA""",="2014 SCM World Champs ",="12/4/2014",="Unattached",="WI",="",="1056",="49"
="19","Rogan, Markus",="400",="60711296",="400 IM SCM",="29",="4:05.81",="4:05.81",="""AAAA""",="2011 Euro's Champs scm",="12/8/2011",="Unattached",="CA",="Yes",="1051",="49"
="20","Bentz, Gunnar",="400",="146159176",="400 IM SCM",="23",="4:05.83",="4:05.83",="""AAAA""",="2019 ISL Series - London",="11/23/2019",="Unattached",="GA",="",="1051",="49"
="21","Tikhonov, Alexander",="400",="80108036",="400 IM SCM",="25",="4:06.54",="4:06.54",="""AAAA""",="Russian National SC Swimming Championships",="11/15/2013",="Unattached",="CA",="Yes",="1044",="49"
="22","Meyer, Michael",="400",="88546519",="400 IM SCM",="21",="4:07.31",="4:07.31",="""AAAA""",="Sa Short Course Swimming Champ",="8/7/2014",="Tucson Ford Dealers Aquatics",="AZ",="Yes",="1036",="49"
="23","Schlicht, David",="400",="145147020",="400 IM SCM",="20",="4:07.47",="4:07.47",="""AAAA""",="2019 AUS SCM Champs",="10/24/2019",="Tucson Ford Dealers Aquatics",="AZ",="Yes",="1035",="49"
="24","Carvalho, Diogo",="400",="91114698",="400 IM SCM",="26",="4:07.68",="4:07.68",="""AAAA""",="2014 SCM World Champs ",="12/4/2014",="Unattached",="US",="Yes",="1033",="49"
="25","Grieshop, Sean",="400",="89779790",="400 IM SCM",="15",="4:07.75",="4:07.75",="""AAAA""",="2014 World Cup - Singapore",="11/1/2014",="Unattached",="ST",="",="1081",="49"
="26","Maly, Jakub",="400",="91106634",="400 IM SCM",="22",="4:07.91",="4:07.91",="""AAAA""",="2014 SCM World Champs ",="12/4/2014",="Unattached",="MN",="Yes",="1030",="49"
="27","Huang, ChaoSheng",="400",="52013825",="400 IM SCM",="16",="4:08.14",="4:08.14",="Summer Nationals (LCM)",="2010 SCM World Champs ",="12/15/2010",="Unattached",="CT",="Yes",="1061",="49"
="28","Ipsen, Anton",="400",="145860346",="400 IM SCM",="25",="4:08.46",="4:08.46",="""AAAA""",="2019 ISL Series - College Park",="11/16/2019",="Unattached",="NC",="Yes",="1025",="49"
="29","Smith, Kieran",="400",="136317220",="400 IM SCM",="18",="4:08.52",="4:08.52",="""AAAA""",="2018 SCM World Champs",="12/15/2018",="University of Florida",="FL",="",="1024",="49"
="30","Townsend, Darian",="400",="69309660",="400 IM SCM",="28",="4:09.24",="4:09.24",="""AAAA""",="2012 World Cup - Singapore ",="11/10/2012",="Unattached",="AZ",="Yes",="1017",="49"
="31","Aydin, Metin",="400",="133052368",="400 IM SCM",="22",="4:10.11",="4:10.11",="""AAAA""",="Turkcell Turkish SCM Open Championship",="12/21/2017",="Unattached",="HI",="Yes",="1008",="49"
="32","Ornek, Alpkan",="400",="103215501",="400 IM SCM",="20",="4:10.21",="4:10.21",="2019 Winter US Open (LCM)",="Turkish Swimming Federation Championships",="12/17/2015",="Unattached",="AZ",="Yes",="1007",="49"
="33","Schmuhl, Stephen",="400",="70823221",="400 IM SCM",="19",="4:10.38",="4:10.38",="""AAAA""",="2012 SCM World Champs",="12/12/2012",="Unattached",="IN",="",="1006",="49"
="34","Arroyo, Jarod",="400",="136316744",="400 IM SCM",="17",="4:10.40",="4:10.40",="""AAAA""",="2018 SCM World Champs",="12/15/2018",="Pitchfork Aquatics",="AZ",="Yes",="1006",="49"
="35","Wang, Tommy",="400",="136317277",="400 IM SCM",="19",="4:11.22",="4:11.22",="""AAAA""",="2018 SCM World Champs",="12/15/2018",="Mesa Aquatics Club",="AZ",="Yes",="997",="49"
="36","Gomez, Jonathan",="400",="121704076",="400 IM SCM",="21",="4:11.36",="4:11.36",="2019 Winter US Open (LCM)",="2017 World Cup - Berlin",="8/7/2017",="Unattached",="NJ",="Yes",="996",="49"
="37","Okubo, Corey",="400",="79480136",="400 IM SCM",="18",="4:11.46",="4:11.46",="""AAAA""",="2013 World Cup - Tokyo",="11/9/2013",="Unattached",="CA",="",="995",="49"
="38","Foster, Carson",="400",="123804710",="400 IM SCM",="16",="4:11.63",="4:11.63",="""AAAA""",="2017 World Cup - Tokyo",="11/15/2017",="Unattached",="OH",="",="1026",="49"
="39","Gonzalez, Hugo",="400",="133342980",="400 IM SCM",="19",="4:11.84",="4:11.84",="""AAAA""",="2018 World Cup - Budapest",="10/6/2018",="Unattached",="SE",="Yes",="991",="49"
="40","Grothe, Zane",="400",="145860336",="400 IM SCM",="27",="4:11.92",="4:11.92",="""AAAA""",="2019 ISL Series - College Park",="11/16/2019",="Unattached",="CA",="",="991",="49"
="41","Fujimori, Takeharu",="400",="134691921",="400 IM SCM",="24",="4:11.93",="4:11.93",="""AAAA""",="2018 World Cup - Toyko",="11/11/2018",="Unattached",="AZ",="Yes",="991",="49"
="42","Minuth, Fynn",="400",="146807642",="400 IM SCM",="22",="4:12.27",="4:12.27",="""AAAA""",="2019 Euro's Champs scm",="12/5/2019",="Unattached",="SC",="Yes",="987",="49"
="43","Gurevich, Etay",="400",="125715045",="400 IM SCM",="22",="4:12.41",="4:12.41",="""AAAA""",="Arena Winter Championship - Short Course 2017",="12/30/2017",="Unattached",="KY",="Yes",="986",="49"
="44","Mulcare, Patrick",="400",="91687057",="400 IM SCM",="18",="4:12.77",="4:12.77",="""AAAA""",="2014 OR Thunderbolt Junior  Inter",="12/13/2014",="Tualatin Hills Swim Club",="OR",="",="982",="49"
="45","Solaeche, Eduardo",="400",="61290126",="400 IM SCM",="18",="4:12.85",="4:12.85",="""AAAA""",="National Spanish Winter Championships",="12/16/2011",="Unattached",="FL",="Yes",="981",="49"
="46","Blazevski, Marko",="400",="91106471",="400 IM SCM",="22",="4:13.04",="4:13.04",="""AAAA""",="2014 SCM World Champs ",="12/4/2014",="Unattached",="US",="Yes",="980",="49"
="47","Fink, Nic",="400",="133227927",="400 IM SCM",="25",="4:13.25",="4:13.25",="""AAAA""",="2018 World Cup - Eindhoven",="9/30/2018",="Unattached",="GA",="",="978",="49"
="48","Andrew, Michael",="400",="123483115",="400 IM SCM",="18",="4:13.39",="4:13.39",="""AAAA""",="2017 World Cup - Beijing",="11/10/2017",="Unattached",="MV",="",="976",="49"
="49","Enderica, Esteban",="400",="70823507",="400 IM SCM",="22",="4:14.60",="4:14.60",="""AAAA""",="2012 SCM World Champs",="12/12/2012",="Unattached",="FG",="Yes",="964",="49"
="50","Abruzzo, Andrew",="400",="123804693",="400 IM SCM",="17",="4:14.96",="4:14.96",="""AAAA""",="2017 World Cup - Tokyo",="11/15/2017",="Unattached",="MA",="",="961",="49"
="51","Alkan, Samet",="400",="103215355",="400 IM SCM",="17",="4:15.23",="4:15.23",="2019 Winter US Open (LCM)",="Turkish Swimming Federation Championships",="12/17/2015",="Unattached",="AZ",="Yes",="958",="49"
="52","Frank, Simon",="400",="92026694",="400 IM SCM",="24",="4:15.45",="4:15.45",="""AAAA""",="Swedish Championships SM/JSM (25m) 2014",="11/23/2014",="Unattached",="UT",="Yes",="956",="49"
="53","Tee, Eugene",="400",="58622398",="400 IM SCM",="17",="4:15.84",="4:15.84",="Summer Nationals (LCM)",="2011 Australian SC Champs",="6/30/2011",="Team Santa Monica",="CA",="Yes",="952",="49"
="54","Ogren, Curtis",="400",="79480105",="400 IM SCM",="17",="4:16.33",="4:16.33",="""AAAA""",="2013 World Cup - Tokyo",="11/9/2013",="Unattached",="PC",="",="948",="49"
="55","Pinzon, Omar",="400",="111684603",="400 IM SCM",="27",="4:16.54",="4:16.54",="2019 Winter US Open (LCM)",="2016 World Cup - Hong Kong",="10/29/2016",="Unattached",="CA",="Yes",="946",="49"
="56","Glaesner, Mads",="400",="103170427",="400 IM SCM",="27",="4:16.84",="4:16.84",="2019 Winter US Open (LCM)",="Danish Team Championship",="12/20/2015",="Unattached",="CA",="Yes",="943",="49"
="57","Pebley, Jacob",="400",="58850996",="400 IM SCM",="18",="4:16.95",="4:16.95",="2019 Winter US Open (LCM)",="2011 World Cup - Moscow",="10/18/2011",="Unattached",="OR",="",="942",="49"
="58","Schuster, Brandon",="400",="136317193",="400 IM SCM",="20",="4:17.20",="4:17.20",="""AAAA""",="2018 SCM World Champs",="12/15/2018",="Fusion Aquatics",="CA",="Yes",="939",="49"
="59","Jhong, Chris",="400",="123483250",="400 IM SCM",="17",="4:17.25",="4:17.25",="""AAAA""",="2017 World Cup - Beijing",="11/10/2017",="Unattached",="PC",="",="939",="49"
="60","Barta, Marci",="400",="111970624",="400 IM SCM",="17",="4:17.41",="4:17.41",="2019 Winter US Open (LCM)",="XIII. Short Course Championship",="11/3/2016",="Unattached",="GA",="Yes",="937",="49"
="61","Liang, Alex",="400",="111684548",="400 IM SCM",="17",="4:17.79",="4:17.79",="2019 Winter US Open (LCM)",="2016 World Cup - Hong Kong",="10/29/2016",="Unattached",="PC",="",="933",="49"
="62","Harting, Zach",="400",="144387177",="400 IM SCM",="22",="4:17.89",="4:17.89",="""AAAA""",="2019 ISL Series - Naples",="10/12/2019",="Unattached",="KY",="",="933",="49"
="63","Karasek, David",="400",="70476584",="400 IM SCM",="25",="4:18.45",="4:18.45",="""AAAA""",="Winter Spanish Championship",="11/30/2012",="Unattached",="VA",="Yes",="927",="49"
="64","Merrilees, Jorden",="400",="78061565",="400 IM SCM",="19",="4:18.56",="4:18.56",="""AAAA""",="2013 Australian Short Course Championships",="8/22/2013",="Oakland Live Y'ers",="MI",="Yes",="926",="49"
="65","Slater, Tristan",="400",="103165824",="400 IM SCM",="22",="4:18.60",="4:18.60",="2019 Winter US Open (LCM)",="ASA Winter Meet (25m) 2015",="12/18/2015",="Unattached",="SE",="Yes",="926",="49"
="66","Green, Connor",="400",="79738153",="400 IM SCM",="17",="4:18.98",="4:18.98",="""AAAA""",="2013 World Cup - Beijing ",="11/13/2013",="Unattached",="NE",="",="922",="49"
="67","Darragh, Mack",="400",="123804704",="400 IM SCM",="23",="4:19.87",="4:19.87",="""AAAA""",="2017 World Cup - Tokyo",="11/15/2017",="Unattached",="MV",="Yes",="914",="49"
="68","Yabe, Diogo",="400",="67838398",="400 IM SCM",="32",="4:19.88",="4:19.88",="""AAAA""",="Jose Finkel Trophy",="8/20/2012",="Unattached",="FL",="Yes",="913",="49"
="69","Tan, Zachary",="400",="134191899",="400 IM SCM",="15",="4:20.57",="4:20.57",="""AAAA""",="2018 Hancock Prospecting Short Course",="10/27/2018",="Phoenix Swim Club",="AZ",="Yes",="956",="49"
="70","Roy, Daniel",="400",="123804739",="400 IM SCM",="17",="4:20.67",="4:20.67",="""AAAA""",="2017 World Cup - Tokyo",="11/15/2017",="Unattached",="PN",="",="906",="49"
="71","Pedrao, Gabriel",="400",="67838316",="400 IM SCM",="22",="4:21.24",="4:21.24",="""AAAA""",="Jose Finkel Trophy",="8/20/2012",="Unattached",="FG",="Yes",="900",="49"
="72","Katz, Alex",="400",="79738256",="400 IM SCM",="17",="4:21.41",="4:21.41",="""AAAA""",="2013 World Cup - Beijing ",="11/13/2013",="Unattached",="FL",="",="899",="49"
="73","Kabbara, Munzy",="400",="136316953",="400 IM SCM",="16",="4:21.59",="4:21.59",="""AAAA""",="2018 SCM World Champs",="12/15/2018",="Cypress Fairbanks Swim Club",="GU",="Yes",="930",="49"
="74","Zagli, Lorenzo",="400",="102033979",="400 IM SCM",="21",="4:21.85",="4:21.85",="2019 Winter Juniors (SCY)",="39th Trofeo ""Mussi - Lombardi - Femiano""",="11/13/2015",="Unattached",="FG",="Yes",="895",="49"
="75","Surette, Miller",="400",="91988637",="400 IM SCM",="17",="4:23.06",="4:23.06",="""AAAA""",="Ontario Junior International 2",="12/5/2014",="Nation's Capital Swim Club",="PV",="",="883",="49"
="76","Stitt, Cameron",="400",="70852601",="400 IM SCM",="17",="4:24.21",="4:24.21",="""AAAA""",="2012 OR Paul Bergen Jr ",="12/7/2012",="Tualatin Hills Swim Club",="OR",="",="872",="49"
="77","Murphy, Christopher",="400",="91988593",="400 IM SCM",="17",="4:24.81",="4:24.81",="""AAAA""",="Ontario Junior International 2",="12/5/2014",="Nation's Capital Swim Club",="PV",="",="867",="49"
="78","Araya, Esteban",="400",="113606229",="400 IM SCM",="20",="4:25.00",="4:25.00",="""AAAA""",="2016 SCM World Champs ",="12/10/2016",="Unattached",="NC",="Yes",="865",="49"
="79","Pawlowicz, Nate",="400",="91988603",="400 IM SCM",="17",="4:25.40",="4:25.40",="""AAAA""",="Ontario Junior International 2",="12/5/2014",="Nation's Capital Swim Club",="PV",="",="861",="49"
="80","Fenlon, Matthew",="400",="136534192",="400 IM SCM",="16",="4:25.61",="4:25.61",="""AAAA""",="2018 Age Group International SC",="11/10/2018","Badger Swim Club,Inc.",="MR",="",="892",="49"
="81","Morales, Yeziel",="400",="113702090",="400 IM SCM",="20",="4:25.79",="4:25.79",="""AAAA""",="2016 SCM World Champs ",="12/10/2016",="Unattached",="AZ",="Yes",="858",="49"
="82","Noens, Adam",="400",="76411837",="400 IM SCM",="17",="4:25.89",="4:25.89",="""AAAA""",="2013 IN LST Summer Splash II",="6/15/2013",="Lawrence Swim Team",="IN",="",="857",="49"
="83","Rutherfurd, Andrew",="400",="70823202",="400 IM SCM",="23",="4:26.13",="4:26.13",="""AAAA""",="2012 SCM World Champs",="12/12/2012",="Unattached",="UT",="Yes",="854",="49"
