="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id"
="1","Kalisz, Chase",="400",="117866238",="400 IM SCY",="23",="3:33.42",="3:33.42",="2019 Summer Nationals (LCM)",="2017 NCAA DI - Men",="3/24/2017",="Unattached",="MD",="",="1099",="22"
="2","DeVine, Abrahm",="400",="128977344",="400 IM SCY",="21",="3:35.29",="3:35.29",="2019 Summer Nationals (LCM)",="2018 NCAA DI - Men",="3/23/2018",="Unattached",="PC",="",="1077",="22"
="3","Gonzalez, Hugo",="400",="127525376",="400 IM SCY",="18",="3:35.76",="3:35.76",="2019 Summer Nationals (LCM)",="2018 SEC Champs",="2/16/2018",="Unattached",="SE",="Yes",="1072",="22"
="4","Prenot, Josh",="400",="106778255",="400 IM SCY",="22",="3:35.82",="3:35.82",="2019 Summer Nationals (LCM)",="2016 NCAA DI - Men",="3/25/2016",="Unattached",="PC",="",="1071",="22"
="5","Seliskar, Andrew",="400",="117866273",="400 IM SCY",="20",="3:36.18",="3:36.18",="2019 Summer Nationals (LCM)",="2017 NCAA DI - Men",="3/24/2017",="Unattached",="PC",="",="1067",="22"
="6","Szaranek, Mark",="400",="117866278",="400 IM SCY",="21",="3:36.31",="3:36.31",="2019 Summer Nationals (LCM)",="2017 NCAA DI - Men",="3/24/2017",="Unattached",="FL",="Yes",="1066",="22"
="7","Licon, Will",="400",="95704970",="400 IM SCY",="20",="3:36.37",="3:36.37",="2019 Summer Nationals (LCM)",="2015 NCAA DI - Men",="3/27/2015",="Unattached",="ST",="",="1065",="22"
="8","Bentz, Gunnar",="400",="117866207",="400 IM SCY",="21",="3:36.60",="3:36.60",="2019 Summer Nationals (LCM)",="2017 NCAA DI - Men",="3/24/2017",="Unattached",="GA",="",="1062",="22"
="9","Grieshop, Sean",="400",="140251165",="400 IM SCY",="20",="3:37.03",="3:37.03",="2019 Summer Nationals (LCM)",="2019 NCAA DI - Men",="3/29/2019",="Unattached",="PC",="",="1057",="22"
="10","Smith, Kieran",="400",="149803820",="400 IM SCY",="19",="3:37.31",="3:37.31",="2019 Summer Nationals (LCM)",="2020 SEC Champs",="2/20/2020",="Unattached",="FL",="",="1054",="22"
="11","Thomas, Mike",="400",="140251216",="400 IM SCY",="21",="3:37.52",="3:37.52",="2019 Summer Nationals (LCM)",="2019 NCAA DI - Men",="3/29/2019",="Unattached",="PC",="",="1052",="22"
="12","Casas, Shaine",="400",="150581994",="400 IM SCY",="20",="3:37.59",="3:37.59",="2019 Summer Nationals (LCM)",="2020 American Short Course",="3/6/2020",="Unattached",="GU",="",="1051",="22"
="13","Dwyer, Conor",="400",="53898347",="400 IM SCY",="22",="3:37.75",="3:37.75",="2019 Summer Juniors (LCM)",="2011 SEC Champs",="2/16/2011",="Unattached",="FL",="",="1049",="22"
="14","Wallace, Dan",="400",="84978605",="400 IM SCY",="20",="3:38.17",="3:38.17",="2017 US Open",="2014 NCAA DI - Men",="3/27/2014",="Unattached",="FL",="Yes",="1045",="22"
