="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id"
="1","Smith, Kieran",="500",="149768136",="500 FR SCY",="19",="4:06.32",="4:06.32",="2019 Summer Nationals (LCM)",="2020 SEC Champs",="2/19/2020",="Unattached",="FL",="",="1056",="4"
="2","Grothe, Zane",="500",="124374476",="500 FR SCY",="25",="4:07.25",="4:07.25",="2019 Summer Nationals (LCM)",="2017 Winter Nationals",="11/30/2017",="Unattached",="MR",="",="1046",="4"
="3","Haas, Townley",="500",="140244753",="500 FR SCY",="22",="4:08.19",="4:08.19",="2019 Summer Nationals (LCM)",="2019 NCAA DI - Men",="3/28/2019",="Unattached",="ST",="",="1035",="4"
="4","Smith, Clark",="500",="117855977",="500 FR SCY",="21",="4:08.42",="4:08.42",="2019 Summer Nationals (LCM)",="2017 NCAA DI - Men",="3/23/2017",="Unattached",="ST",="",="1033",="4"
="5","Auboeck, Felix",="500",="117855936",="500 FR SCY",="20",="4:08.95",="4:08.95",="2019 Summer Nationals (LCM)",="2017 NCAA DI - Men",="3/23/2017",="Unattached",="MI",="Yes",="1027",="4"
="6","Ipsen, Anton",="500",="128972921",="500 FR SCY",="23",="4:09.13",="4:09.13",="2019 Summer Nationals (LCM)",="2018 NCAA DI - Men",="3/22/2018",="Unattached",="NC",="Yes",="1025",="4"
="7","Minuth, Fynn",="500",="117851638",="500 FR SCY",="19",="4:09.55",="4:09.55",="2019 Summer Nationals (LCM)",="2017 NCAA DI - Men",="3/23/2017",="Unattached",="SC",="Yes",="1021",="4"
="8","D'Arrigo, Mitch",="500",="106776816",="500 FR SCY",="20",="4:09.98",="4:09.98",="2019 Summer Nationals (LCM)",="2016 NCAA DI - Men",="3/24/2016",="Unattached",="FL",="",="1016",="4"
="9","Grieshop, Sean",="500",="140244752",="500 FR SCY",="20",="4:10.29",="4:10.29",="2019 Summer Nationals (LCM)",="2019 NCAA DI - Men",="3/28/2019",="Unattached",="PC",="",="1013",="4"
="10","Yeadon, Zach",="500",="150183466",="500 FR SCY",="20",="4:10.39",="4:10.39",="2019 Summer Nationals (LCM)",="2020 ACC Champs men",="2/27/2020",="Unattached",="IN",="",="1012",="4"
="11","Wallace, Dan",="500",="95705229",="500 FR SCY",="21",="4:10.48",="4:10.48",="2019 Summer Nationals (LCM)",="2015 NCAA DI - Men",="3/26/2015",="Unattached",="FL",="Yes",="1011",="4"
="12","Dwyer, Conor",="500",="79755563",="500 FR SCY",="24",="4:10.60",="4:10.60",="2017 US Open",="2013 Pro Series - Minneapolis",="11/14/2013",="North Baltimore Aquatic Club",="MD",="",="1009",="4"
