="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id"
="1","Wilson, Ardin",="50",="126396220",="50 FL SCY",="14",="17.48",="17.48",="""Slower than B""",="2018 FL SYS Below FLAG Meet",="1/20/2018",="Sarasota YMCA Sharks",="FL",="",="0",="17"
="2","Shields, Tom",="50",="113141583",="50 FL SCY",="25",="20.10",="20.10",="""Slower than B""",="2016 Winter Nationals",="12/1/2016",="California Aquatics",="PC",="",="1136",="17"
="3","Ike, Trey",="50",="135527104",="50 FL SCY",="17",="20.41",="20.41",="""Slower than B""",="2018 NJS AP Peddie RBY Cougar Tri Meet",="10/27/2018",="Peddie Aquatic Association",="NJ",="",="1103",="17"
="4","Andrew, Michael",="50",="128624616",="50 FL SCY",="18",="20.60",="20.60",="""Slower than B""",="2018 Sectionals - Columbia",="3/10/2018",="Race Pace Club",="MV",="",="1076",="17"
="5","Seliskar, Andrew",="50",="95663000",="50 FL SCY",="18",="20.69",="20.69",="""Slower than B""",="2015 FL NCSA Spring Champs",="3/19/2015",="Nation's Capital Swim Club",="PV",="",="1065",="17"
="6","Grimm, Anthony",="50",="140517912",="50 FL SCY",="16",="20.73",="20.73",="""Slower than B""",="2019 NCSA Spring Championship",="3/21/2019",="Mason Makos Swim Team",="PV",="",="1094",="17"
="7","Quah, Zheng",="50",="145467600",="50 FL SCY",="23",="20.81",="20.81",="""Slower than B""",="Triple Distance Meet",="11/8/2019",="Unattached",="PC",="Yes",="1051",="17"
="8","Cooper, Tripp",="50",="126873632",="50 FL SCY",="24",="20.89",="20.89",="""Slower than B""",="2017  King Marlin Pro-Am Class",="12/17/2017",="Longhorn Aquatics",="ST",="",="1042",="17"
="9","Crossland, David",="50",="97331885",="50 FL SCY",="17",="20.97",="20.97",="""Slower than B""",="2015 MA OB Delaware High School States",="2/24/2015",="Unattached",="MA",="",="1037",="17"
="9","Smith, Giles",="50",="136561535",="50 FL SCY",="27",="20.97",="20.97",="""Slower than B""",="2018 NT King Marlin Pro-Am Class",="12/15/2018",="Phoenix Swim Club",="AZ",="",="1032",="17"
="11","Rybin, Roman",="50",="149030339",="50 FL SCY",="29",="21.05",="21.05",="""Slower than B""",="2019 PNS Short Course Champion",="12/22/2019",="King Aquatic Club",="PN",="Yes",="1023",="17"
="12","Schneider, Josh",="50",="81435144",="50 FL SCY",="25",="21.07",="21.07",="""Slower than B""",="2013 OK Elite Meet",="12/19/2013",="New York Athletic Club",="MR",="",="1021",="17"
="13","Conger, Jack",="50",="74374155",="50 FL SCY",="18",="21.08",="21.08",="""Slower than B""",="2013 NCSA Junior Swim",="3/12/2013",="Rockville Montgomery Swim Club",="PV",="",="1019",="17"
="13","Murch, Connell",="50",="117244945",="50 FL SCY",="17",="21.08",="21.08",="""Slower than B""",="2017 FL Area 3 Championships",="3/3/2017",="Saint Petersburg Aquatics",="FL",="",="1024",="17"
="15","Lynch, Justin",="50",="123477211",="50 FL SCY",="21",="21.13",="21.13",="""Slower than B""",="Cal vs. Stanford 11.10.17",="11/10/2017",="Unattached",="PC",="",="1014",="17"
="16","Kawamoto, Kohei",="50",="52178134",="50 FL SCY",="31",="21.14",="21.14",="""Slower than B""",="2010 AZ Holiday Festival ",="12/2/2010",="Phoenix Swim Club",="AZ",="Yes",="1012",="17"
="17","Virva, Dillon",="50",="114156785",="50 FL SCY",="22",="21.16",="21.16",="""Slower than B""",="2016 PN Washington State Senior SC Champs",="12/18/2016",="King Aquatic Club",="PN",="",="1010",="17"
="18","Bohman, Bryce",="50",="126873262",="50 FL SCY",="27",="21.21",="21.21",="""Slower than B""",="2017  King Marlin Pro-Am Class",="12/17/2017",="Longhorn Aquatics",="ST",="",="1004",="17"
="18","Martinez, Luis",="50",="138996159",="50 FL SCY",="23",="21.21",="21.21",="""Slower than B""",="2019 SE Southeastern SC Champi",="2/22/2019",="Unattached",="SE",="Yes",="1004",="17"
="20","Sadlowski, Piotr",="50",="150773441",="50 FL SCY",="20",="21.22",="21.22",="""Slower than B""",="2020 CSCAA National Invitation",="3/12/2020",="Unattached",="NT",="Yes",="1003",="17"
="21","Tandy, Bradley",="50",="133125737",="50 FL SCY",="27",="21.26",="21.26",="""Slower than B""",="2018 AZ PSC September Meet ",="9/7/2018",="Unattached",="AZ",="Yes",="999",="17"
="22","Loomis, Nicholas",="50",="117093678",="50 FL SCY",="19",="21.27",="21.27",="""Slower than B""",="2017 NI - Ob - NJCAAS",="3/4/2017",="Unattached",="FL",="",="997",="17"
="23","Sickert, Thiago",="50",="84819542",="50 FL SCY",="25",="21.29",="21.29",="""Slower than B""",="2014 FG Florida Gold Cost Senior",="3/21/2014",="Unattached",="FG",="Yes",="995",="17"
="24","Kaliszak, Luke",="50",="84835872",="50 FL SCY",="18",="21.30",="21.30",="""Slower than B""",="2014 FL AP NCSA Spring Championship",="3/18/2014",="Baylor Swim Club",="SE",="",="994",="17"
="25","Nguyen, Bill",="50",="144093932",="50 FL SCY",="15",="21.31",="21.31",="""Slower than B""",="2019 GA Fall Kickoff",="9/22/2019",="Spartan Aquatic Club",="GA",="",="1089",="17"
="25","Wilson, Daniel",="50",="147121685",="50 FL SCY",="17",="21.31",="21.31",="""Slower than B""",="2019 Winter Junior Nats - West",="12/11/2019",="Sooner Swim Club",="OK",="",="998",="17"
="27","Jones, James",="50",="133915534",="50 FL SCY",="20",="21.32",="21.32",="""Slower than B""",="Michigan vs Northwestern",="10/19/2018",="Unattached",="MI",="",="992",="17"
="27","Murphy, Camden",="50",="117861677",="50 FL SCY",="17",="21.32",="21.32",="""Slower than B""",="2017 FL NCSA Spring Champs",="3/16/2017",="Kingfish Aquatic Club of Waterford",="MI",="",="997",="17"
="29","Fonder, Khalil",="50",="129164261",="50 FL SCY",="18",="21.35",="21.35",="""Slower than B""",="2018 VA TYR ISCA Junior Champs",="3/21/2018",="Virginia Gators",="VA",="",="988",="17"
="29","Pierce, Harrison",="50",="85155809",="50 FL SCY",="18",="21.35",="21.35",="""Slower than B""",="2014 FL NASA Junior National Cham",="3/26/2014",="Tide Swimming",="VA",="",="988",="17"
="29","Van Leeuwen, Ruben",="50",="139757574",="50 FL SCY",="21",="21.35",="21.35",="""Slower than B""",="2019 NI - AP - NJCAAs",="3/9/2019",="Indian River State College",="FL",="Yes",="988",="17"
="32","Ornelas, Micah",="50",="135631717",="50 FL SCY",="22",="21.36",="21.36",="""Slower than B""",="2018 Gompei Invitational",="12/1/2018",="Unattached",="NE",="",="987",="17"
="33","Carter, Dylan",="50",="83684579",="50 FL SCY",="18",="21.37",="21.37",="""Slower than B""",="2014 CA OB USC vs Utah- MEN",="2/21/2014",="Unattached",="CA",="Yes",="986",="17"
="33","Mania, Adam",="50",="81434238",="50 FL SCY",="30",="21.37",="21.37",="""Slower than B""",="2013 OK Elite Meet",="12/19/2013",="Schroeder YMCA Swim Team",="WI",="",="986",="17"
="35","Parker, Jeremy",="50",="116923688",="50 FL SCY",="22",="21.38",="21.38",="""Slower than B""",="2017 FL SC Senior Champs",="2/25/2017",="Greater Tampa Swimming Associa",="FL",="",="985",="17"
="36","Smachlo, Miles",="50",="148865729",="50 FL SCY",="21",="21.39",="21.39",="""Slower than B""",="Michigan vs Michigan State",="1/31/2020",="Unattached",="MI",="",="984",="17"
="37","Antipov, Daniil",="50",="101701930",="50 FL SCY",="18",="21.40",="21.40",="""Slower than B""",="2015 Northwestern TYR Invitati",="11/22/2015",="Unattached",="AZ",="Yes",="982",="17"
="38","Anderson, Thomas",="50",="102999043",="50 FL SCY",="17",="21.42",="21.42",="""Slower than B""",="2015 PN Washington State Senior Championships",="12/20/2015",="King Aquatic Club",="PN",="",="985",="17"
="38","Camp, James",="50",="139757241",="50 FL SCY",="21",="21.42",="21.42",="""Slower than B""",="2019 NI - AP - NJCAAs",="3/9/2019",="Southwestern Oregon Community College",="OR",="Yes",="980",="17"
="40","Borgen, Runar",="50",="112991007",="50 FL SCY",="23",="21.44",="21.44",="""Slower than B""",="2016 FG Winter Championships",="11/17/2016",="Performance Aquatics",="FG",="Yes",="978",="17"
="41","Subirats, Albert",="50",="89146984",="50 FL SCY",="28",="21.45",="21.45",="""Slower than B""",="2014 SE War Eagle Invitational",="10/11/2014",="Auburn Aquatics",="SE",="Yes",="977",="17"
="42","Raisky, Jeremy",="50",="104603846",="50 FL SCY",="23",="21.46",="21.46",="""Slower than B""",="Michigan vs Michigan St",="2/6/2016",="Unattached",="MI",="",="976",="17"
="43","Domagala, Michael",="50",="74374683",="50 FL SCY",="17",="21.48",="21.48",="""Slower than B""",="2013 NCSA Junior Swim",="3/12/2013",="Asphalt Green Unified Aquatics",="MR",="Yes",="978",="17"
="43","Gillilan, Loren",="50",="139968151",="50 FL SCY",="20",="21.48",="21.48",="""Slower than B""",="2019 CSCAA National Invitation",="3/14/2019",="Unattached",="CC",="",="973",="17"
="45","Miesfeld, Barrett",="50",="46252380",="50 FL SCY",="17",="21.49",="21.49",="""Slower than B""",="2010 FL NCSA Junior Natl Swimming",="3/16/2010",="Tucson Ford Dealers Aquatics",="AZ",="",="977",="17"
="45","Risolvato, Erik",="50",="99804459",="50 FL SCY",="21",="21.49",="21.49",="""Slower than B""",="2015 AZ Fall Meet #1 at PSC",="9/20/2015",="Phoenix Swim Club",="AZ",="",="972",="17"
="47","Davis, Isaac",="50",="129222026",="50 FL SCY",="18",="21.51",="21.51",="""Slower than B""",="2018 NCSA Spring Championship",="3/15/2018",="Metro Atlanta Aquatic Club",="GA",="",="970",="17"
="47","Jovanovic, Andrew",="50",="74376701",="50 FL SCY",="18",="21.51",="21.51",="""Slower than B""",="2013 NCSA Junior Swim",="3/12/2013",="NASA Wildcat Aquatics",="IL",="",="970",="17"
="49","Pomajevich, Sam",="50",="117862344",="50 FL SCY",="18",="21.52",="21.52",="""Slower than B""",="2017 FL NCSA Spring Champs",="3/16/2017",="Nation's Capital Swim Club",="PV",="",="969",="17"
="49","Smith, Zach",="50",="128213406",="50 FL SCY",="17",="21.52",="21.52",="""Slower than B""",="2018 SE Southeastern SC Champi",="2/23/2018",="Crimson Tide Aquatics",="SE",="",="974",="17"
="51","Hines, Ben",="50",="148064632",="50 FL SCY",="17",="21.54",="21.54",="""Slower than B""",="2019  King Marlin Pro-Am Class",="12/21/2019",="Berzerker Swimming",="AR",="",="971",="17"
="51","Liang, Andrew",="50",="123477205",="50 FL SCY",="21",="21.54",="21.54",="""Slower than B""",="Cal vs. Stanford 11.10.17",="11/10/2017",="Unattached",="PC",="",="966",="17"
="53","Bentz, Gunnar",="50",="84832601",="50 FL SCY",="18",="21.55",="21.55",="""Slower than B""",="2014 FL AP NCSA Spring Championship",="3/18/2014",="Dynamo Swim Club",="GA",="",="965",="17"
="54","Hayes, Aiden",="50",="147121684",="50 FL SCY",="16",="21.56",="21.56",="""Slower than B""",="2019 Winter Junior Nats - West",="12/11/2019",="Sooner Swim Club",="OK",="",="998",="17"
="55","Bybee, Cody",="50",="117856906",="50 FL SCY",="17",="21.57",="21.57",="""Slower than B""",="2017 FL NCSA Spring Champs",="3/16/2017",="Dayton Raiders",="OH",="",="968",="17"
="56","Rose, Will",="50",="140521465",="50 FL SCY",="17",="21.58",="21.58",="""Slower than B""",="2019 NCSA Spring Championship",="3/21/2019",="Canton City Schools",="LE",="",="967",="17"
="57","Ramirez, Daniel",="50",="147587504",="50 FL SCY",="26",="21.59",="21.59",="""Slower than B""",="2019 FG 29th Annual Speedo Winter Cham",="12/14/2019",="Westminster Academy Swim Club",="FG",="Yes",="961",="17"
="58","Wilburn, Cason",="50",="129167423",="50 FL SCY",="17",="21.60",="21.60",="""Slower than B""",="2018 VA TYR ISCA Junior Champs",="3/21/2018",="East Coast Aquatic Team",="VA",="",="964",="17"
="59","Dolan, Jack",="50",="139659372",="50 FL SCY",="18",="21.61",="21.61",="""Slower than B""",="2019 Sectionals - Columbia",="3/9/2019",="Rockwood Swim Club",="OZ",="",="958",="17"
="59","Shoukry, Mazen",="50",="150773479",="50 FL SCY",="20",="21.61",="21.61",="""Slower than B""",="2020 CSCAA National Invitation",="3/12/2020",="Unattached",="AZ",="Yes",="958",="17"
="59","Stoffle, Aidan",="50",="140522392",="50 FL SCY",="18",="21.61",="21.61",="""Slower than B""",="2019 NCSA Spring Championship",="3/21/2019",="Summit Swimming",="GA",="",="958",="17"
="62","Lowe, Dalton",="50",="140328038",="50 FL SCY",="16",="21.62",="21.62",="""Slower than B""",="2019 FL TYR ISCA Jr Champions",="3/27/2019",="Spring Swim Team",="GU",="",="991",="17"
="63","Glazunov, Illya",="50",="101702821",="50 FL SCY",="23",="21.63",="21.63",="""Slower than B""",="2015 Northwestern TYR Invitati",="11/22/2015",="Unattached",="AZ",="Yes",="956",="17"
="64","Freiman, Lance",="50",="146239250",="50 FL SCY",="18",="21.64",="21.64",="""Slower than B""",="2019 Pepperdine Winter Invite",="11/22/2019",="Unattached",="MI",="",="955",="17"
="64","Madej, David",="50",="129227539",="50 FL SCY",="18",="21.64",="21.64",="""Slower than B""",="2018 NCSA Spring Championship",="3/15/2018",="SwimStrongsville",="LE",="",="955",="17"
="66","Kuriger, Benjamin",="50",="129165235",="50 FL SCY",="18",="21.65",="21.65",="""Slower than B""",="2018 VA TYR ISCA Junior Champs",="3/21/2018",="Ohio State Swim Club",="OH",="",="954",="17"
="66","Ungur, Paul",="50",="144190118",="50 FL SCY",="25",="21.65",="21.65",="""Slower than B""",="2019 UT OA TYR IMX Challenge",="9/20/2019",="Olympus Aquatics",="UT",="Yes",="954",="17"
="68","Harrington, Caleb",="50",="123681592",="50 FL SCY",="18",="21.66",="21.66",="""Slower than B""",="2017 GKAISA Champs",="7/28/2017",="Unattached",="SE",="",="953",="17"
="69","Sobolewski, Luke",="50",="117863681",="50 FL SCY",="18",="21.67",="21.67",="""Slower than B""",="2017 FL NCSA Spring Champs",="3/16/2017",="Cincinnati Marlins",="OH",="",="952",="17"
="70","Fleagle, Justin",="50",="146271959",="50 FL SCY",="18",="21.68",="21.68",="""Slower than B""",="2019 OH MAKO Tim Myers Senior",="11/22/2019",="Auglaize Mercer Family YMCA",="OH",="",="950",="17"
="71","Malone, Reed",="50",="74377748",="50 FL SCY",="17",="21.69",="21.69",="""Slower than B""",="2013 NCSA Junior Swim",="3/12/2013",="New Trier Swim Club",="IL",="",="954",="17"
="72","Coville, Alex",="50",="81432984",="50 FL SCY",="25",="21.70",="21.70",="""Slower than B""",="2013 OK Elite Meet",="12/19/2013",="Palo Alto Stanford Aquatics",="PC",="",="948",="17"
="72","Lewis, Sam",="50",="77792957",="50 FL SCY",="19",="21.70",="21.70",="""Slower than B""",="2013 GA G.R.P.A. Class ""A"" State",="7/26/2013",="Dynamo Swim Club",="GA",="",="948",="17"
="72","McGinnis, Zach",="50",="81434351",="50 FL SCY",="23",="21.70",="21.70",="""Slower than B""",="2013 OK Elite Meet",="12/19/2013",="New York Athletic Club",="MR",="",="948",="17"
="75","Chavez, Bryan",="50",="150772870",="50 FL SCY",="20",="21.71",="21.71",="""Slower than B""",="2020 CSCAA National Invitation",="3/12/2020",="Unattached",="CA",="Yes",="947",="17"
="75","Tafuto, Vinny",="50",="110897943",="50 FL SCY",="21",="21.71",="21.71",="""Slower than B""",="Michigan Vs Louisville Dual Me",="10/7/2016",="Unattached",="MA",="",="947",="17"
="75","Wright, River",="50",="148865854",="50 FL SCY",="18",="21.71",="21.71",="""Slower than B""",="Michigan vs Michigan State",="1/31/2020",="Unattached",="NE",="",="947",="17"
="78","King, Matt",="50",="149028476",="50 FL SCY",="17",="21.72",="21.72",="""Slower than B""",="2019 PNS Short Course Champion",="12/22/2019",="Bellevue Club Swim Team",="PN",="",="951",="17"
="79","Lauri, Travis",="50",="129654069",="50 FL SCY",="25",="21.73",="21.73",="""Slower than B""",="2018 CA OB SP/USMS SW Zones",="4/28/2018",="Trojan Swim Club",="CA",="",="945",="17"
="80","Tan, Steven",="50",="84840069",="50 FL SCY",="17",="21.75",="21.75",="""Slower than B""",="2014 FL AP NCSA Spring Championship",="3/18/2014",="Delta Aquatics",="IL",="",="947",="17"
="80","Twarowski, Jerzy",="50",="122149461",="50 FL SCY",="21",="21.75",="21.75",="""Slower than B""",="Iowa vs Michigan State & North",="10/5/2017",="Unattached",="IA",="Yes",="942",="17"
="82","Farris, Dean",="50",="106885985",="50 FL SCY",="18",="21.77",="21.77",="""Slower than B""",="2016 NCSA Spring Championship",="3/17/2016",="Metro Atlanta Aquatic Club",="GA",="",="940",="17"
="83","Schroeder, Jason",="50",="139662726",="50 FL SCY",="23",="21.78",="21.78",="""Slower than B""",="2019 Sectionals - Columbia",="3/9/2019",="Aquatic Club of Enid",="OK",="",="939",="17"
="84","Evju, Alexander",="50",="135527048",="50 FL SCY",="17",="21.79",="21.79",="""Slower than B""",="2018 NJS AP Peddie RBY Cougar Tri Meet",="10/27/2018",="Peddie Aquatic Association",="NJ",="",="943",="17"
="85","Modrov, Drew",="50",="110490705",="50 FL SCY",="26",="21.80",="21.80",="""Slower than B""",="2016 MR HAA August Time Trial",="8/4/2016",="Unattached",="MR",="",="937",="17"
="85","Sesvold, Tyler",="50",="117863386",="50 FL SCY",="18",="21.80",="21.80",="""Slower than B""",="2017 FL NCSA Spring Champs",="3/16/2017",="St Charles Swim Team",="IL",="",="937",="17"
="87","Chan, Dylan",="50",="110751288",="50 FL SCY",="17",="21.81",="21.81",="""Slower than B""",="2016 MR NCAC First Sprint Meet",="9/25/2016",="Hauppauge Athletic Association",="MR",="",="941",="17"
="87","Crane, Cole",="50",="139431116",="50 FL SCY",="18",="21.81",="21.81",="""Slower than B""",="2019 FL Swimming Spring Senior Champs",="3/2/2019",="Episcopal AmberJax",="FL",="",="936",="17"
="87","Mendes, Arthur",="50",="100044492",="50 FL SCY",="22",="21.81",="21.81",="""Slower than B""",="2015 SE War Eagle Invitational",="10/10/2015",="War Eagle Swimming",="SE",="Yes",="936",="17"
="87","Schubert, Ted",="50",="106891623",="50 FL SCY",="18",="21.81",="21.81",="""Slower than B""",="2016 NCSA Spring Championship",="3/17/2016","NOVA of Virginia Aquatics, Inc",="VA",="",="936",="17"
="91","Hines, Alex",="50",="123681623",="50 FL SCY",="18",="21.82",="21.82",="""Slower than B""",="2017 GKAISA Champs",="7/28/2017",="Unattached",="SE",="",="935",="17"
