="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id"
="1","Smith, Regan",="100",="139660322",="100 BK SCY",="17",="49.66r",="49.66",="2019 Summer Nationals (LCM)",="2019 Sectionals - Raleigh ",="3/10/2019",="Riptide",="MN",="",="1148",="12"
="2","Nelson, Beata",="100",="135486863",="100 BK SCY",="20",="49.67",="49.67",="2019 Summer Nationals (LCM)",="Texas Hall of Fame Swimming In",="11/30/2018",="Unattached",="WI",="",="1148",="12"
="3","Howe, Ally",="100",="117402453",="100 BK SCY",="21",="49.69",="49.69",="2019 Summer Nationals (LCM)",="2017 PAC 12 Champs women",="2/24/2017",="Unattached",="PC",="",="1147",="12"
="4","Baker, Kathleen",="100",="117669501",="100 BK SCY",="20",="49.80",="49.80",="2019 Summer Nationals (LCM)",="2017 NCAA DI - Women",="3/15/2017",="Unattached",="PC",="",="1142",="12"
="5","Hu, Janet",="100",="127919776",="100 BK SCY",="22",="49.93",="49.93",="2019 Summer Nationals (LCM)",="2018 PAC 12 Champs women",="2/23/2018",="Unattached",="PC",="",="1135",="12"
="6","Bartholomew, Courtney",="100",="91267324",="100 BK SCY",="20",="50.01r",="50.01",="2019 Summer Nationals (LCM)",="UGA Fall Invitational 2014",="12/5/2014",="Unattached",="VA",="",="1131",="12"
="7","White, Rhyan",="100",="149850853",="100 BK SCY",="20",="50.02",="50.02",="2019 Summer Nationals (LCM)",="2020 SEC Champs",="2/21/2020",="Unattached",="SE",="",="1131",="12"
="8","Bootsma, Rachel",="100",="95541895",="100 BK SCY",="21",="50.03",="50.03",="2019 Summer Nationals (LCM)",="2015 NCAA DI - Women",="3/20/2015",="Unattached",="PC",="",="1130",="12"
="9","MacNeil, Maggie",="100",="149882971",="100 BK SCY",="19",="50.04r",="50.04",="2019 Summer Nationals (LCM)",="2020 B1G 10 Champs women",="2/20/2020",="Unattached",="MI",="Yes",="1130",="12"
="9","Smoliga, Olivia",="100",="117673720",="100 BK SCY",="22",="50.04",="50.04",="2019 Summer Nationals (LCM)",="2017 NCAA DI - Women",="3/17/2017",="Unattached",="GA",="",="1130",="12"
="11","Tran, Cindy",="100",="64239253",="100 BK SCY",="19",="50.31",="50.31",="2019 Winter US Open (LCM)",="2012 NCAA DI - Women",="3/15/2012",="Unattached",="CA",="",="1116",="12"
="12","Ruck, Taylor",="100",="140052862",="100 BK SCY",="18",="50.34",="50.34",="2019 Summer Nationals (LCM)",="2019 NCAA DI - Women",="3/22/2019",="Unattached",="PC",="Yes",="1115",="12"
="13","Haan, Elise",="100",="128796189",="100 BK SCY",="20",="50.42",="50.42",="2019 Summer Nationals (LCM)",="2018 NCAA DI - Women",="3/16/2018",="Unattached",="NC",="",="1111",="12"
="13","Ivey, Isabel",="100",="140052789",="100 BK SCY",="18",="50.42",="50.42",="2019 Summer Nationals (LCM)",="2019 NCAA DI - Women",="3/22/2019",="Unattached",="FL",="",="1111",="12"
="15","Coughlin, Natalie",="100",="60536166",="100 BK SCY",="29",="50.45",="50.45",="2019 Winter US Open (LCM)",="Georgia Fall Invitational",="12/2/2011",="Unattached",="PC",="",="1109",="12"
="16","Bilquist, Amy",="100",="105668006",="100 BK SCY",="18",="50.50",="50.50",="2019 Summer Nationals (LCM)",="2016 PAC-12 Champs Women",="2/26/2016",="Unattached",="PC",="",="1107",="12"
="17","Adams, Claire",="100",="150184219",="100 BK SCY",="21",="50.51r",="50.51",="2019 Summer Nationals (LCM)",="2020 Big 12 Champs",="2/27/2020",="Unattached",="ST",="",="1106",="12"
="18","Laemmler, Nadine",="100",="117661378",="100 BK SCY",="22",="50.54r",="50.54",="2019 Summer Nationals (LCM)",="2017 NCAA DI - Women",="3/16/2017",="Unattached",="MV",="Yes",="1105",="12"
="19","Stevens, Hannah",="100",="117673723",="100 BK SCY",="21",="50.57",="50.57",="2019 Summer Nationals (LCM)",="2017 NCAA DI - Women",="3/17/2017",="Unattached",="MV",="",="1104",="12"
="20","DeLoof, Ali",="100",="112271103",="100 BK SCY",="22",="50.59r",="50.59",="2019 Summer Nationals (LCM)",="2016 College Challenge",="11/12/2016",="Unattached",="MI",="",="1103",="12"
="21","Dressel, Sherridon",="100",="149850741",="100 BK SCY",="21",="50.64",="50.64",="2019 Summer Nationals (LCM)",="2020 SEC Champs",="2/21/2020",="Unattached",="FL",="",="1100",="12"
="22","Bacon, Phoebe",="100",="147468728",="100 BK SCY",="17",="50.70",="50.70",="2019 Summer Nationals (LCM)",="2019 PV NCAP Invitational",="12/14/2019",="Nation's Capital Swim Club",="PV",="",="1097",="12"
="22","Hynes, Haley",="100",="146152501",="100 BK SCY",="21",="50.70",="50.70",="2019 Summer Nationals (LCM)",="2019 Mizzou Invitational",="11/21/2019",="Unattached",="MV",="",="1097",="12"
="22","Miller, Paige",="100",="84808733",="100 BK SCY",="22",="50.70r",="50.70",="2017 US Open",="2014 NCAA DI - Women",="3/20/2014",="Unattached",="GU",="Yes",="1097",="12"
="25","Berkoff, Katharine",="100",="135965103",="100 BK SCY",="17",="50.72",="50.72",="2019 Summer Nationals (LCM)",="2018 Winter Junior Nats - West",="12/7/2018",="Missoula Aquatic Club",="MT",="",="1096",="12"
="26","Seidt, Asia",="100",="149850831",="100 BK SCY",="22",="50.73",="50.73",="2019 Summer Nationals (LCM)",="2020 SEC Champs",="2/21/2020",="Unattached",="KY",="",="1096",="12"
="27","Lee, Felicia",="100",="92068351",="100 BK SCY",="22",="50.75",="50.75",="2019 Summer Nationals (LCM)",="2014 OK Elite Pro-Am",="12/20/2014",="Stanford Swimming",="PC",="",="1095",="12"
="28","Zevnik, Alexia",="100",="116290055",="100 BK SCY",="22",="50.80",="50.80",="2019 Summer Nationals (LCM)",="2017 ACC Champs women",="2/15/2017",="Unattached",="NC",="Yes",="1092",="12"
="29","Karosas, Tasija",="100",="117661387",="100 BK SCY",="21",="50.83r",="50.83",="2019 Summer Nationals (LCM)",="2017 NCAA DI - Women",="3/16/2017",="Unattached",="ST",="",="1091",="12"
="30","Spofforth, Gemma",="100",="46184474",="100 BK SCY",="22",="50.84r",="50.84",="Summer Nationals (LCM)",="2010 NCAA D1 - Women",="3/18/2010",="Unattached",="FL",="Yes",="1090",="12"
="31","Toussaint, Kira",="100",="105252114",="100 BK SCY",="21",="50.85",="50.85",="2019 Summer Nationals (LCM)",="2016 SEC Champs",="2/19/2016",="Unattached",="SE",="Yes",="1090",="12"
="32","Brown, Erika",="100",="138899702",="100 BK SCY",="20",="50.88r",="50.88",="2019 Summer Nationals (LCM)",="2019 SEC Champs",="2/22/2019",="Unattached",="SE",="",="1088",="12"
="32","Walsh, Alex",="100",="135959320",="100 BK SCY",="17",="50.88",="50.88",="2019 Summer Nationals (LCM)",="2018 Winter Junior Nats - East",="12/7/2018",="Nashville Aquatic Club",="SE",="",="1088",="12"
="34","Tetzloff, Aly",="100",="138899681",="100 BK SCY",="21",="50.92",="50.92",="2019 Summer Nationals (LCM)",="2019 SEC Champs",="2/22/2019",="Unattached",="SE",="",="1086",="12"
="35","Moffitt, Hellen",="100",="117668142",="100 BK SCY",="21",="50.94",="50.94",="2019 Summer Nationals (LCM)",="2017 NCAA DI - Women",="3/17/2017",="Unattached",="US",="",="1085",="12"
="36","Franklin, Missy",="100",="69324602",="100 BK SCY",="17",="50.97",="50.97",="2017 US Open",="2012 MN TWIN - Minneapolis Gra",="11/9/2012",="Colorado Stars",="CO",="",="1084",="12"
="37","Curzan, Claire",="100",="150848167",="100 BK SCY",="16",="51.01",="51.01",="2019 Summer Nationals (LCM)",="2020 NC TAC TITANS Intrasquad ",="7/18/2020",="TAC Titans",="NC",="",="1082",="12"
="38","Snodgrass, Brooklynn",="100",="84809804",="100 BK SCY",="19",="51.05",="51.05",="2017 US Open",="2014 NCAA DI - Women",="3/20/2014",="Unattached",="IN",="Yes",="1080",="12"
="39","Thompson, Sarah",="100",="149850845",="100 BK SCY",="21",="51.07",="51.07",="2019 Summer Nationals (LCM)",="2020 SEC Champs",="2/21/2020",="Unattached",="MV",="",="1079",="12"
