="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id"
="1","King, Lilly",="100",="140052798",="100 BR SCY",="22",="55.73",="55.73",="2019 Summer Nationals (LCM)",="2019 NCAA DI - Women",="3/22/2019",="Unattached",="IN",="",="1113",="15"
="2","Hannis, Molly",="100",="124402038",="100 BR SCY",="25",="56.64",="56.64",="2019 Summer Nationals (LCM)",="2017 Tennessee Invitational",="12/1/2017",="Unattached",="SE",="",="1079",="15"
="3","Larson, Breeja",="100",="84809769",="100 BR SCY",="21",="57.23",="57.23",="2017 US Open",="2014 NCAA DI - Women",="3/20/2014",="Unattached",="GU",="",="1056",="15"
="4","Atkinson, Alia",="100",="84816965",="100 BR SCY",="25",="57.29",="57.29",="2017 US Open",="2014 FG Florida Gold Cost Senior",="3/21/2014",="South Florida Aquatic Club",="FG",="Yes",="1054",="15"
="5","Haase, Sarah",="100",="106570152",="100 BR SCY",="21",="57.36",="57.36",="2017 US Open",="2016 NCAA DI - Women",="3/18/2016",="Unattached",="PC",="",="1052",="15"
="6","Hansson, Sophie",="100",="138897880",="100 BR SCY",="20",="57.74",="57.74",="2019 Summer Nationals (LCM)",="2019 ACC Women's Champs",="2/22/2019",="Unattached",="NC",="Yes",="1037",="15"
="7","Kozelsky (Horejsi), Lindsey",="100",="127574231",="100 BR SCY",="20",="57.91",="57.91",="2019 Summer Nationals (LCM)",="2018 B1G 10 Champs women",="2/16/2018",="Unattached",="MN",="",="1031",="15"
="8","Tucker, Miranda",="100",="127574719",="100 BR SCY",="20",="57.93",="57.93",="2019 Summer Nationals (LCM)",="2018 B1G 10 Champs women",="2/16/2018",="Unattached",="MI",="",="1030",="15"
="9","Belousova, Anna",="100",="138899537",="100 BR SCY",="22",="57.99",="57.99",="2019 Summer Nationals (LCM)",="2019 SEC Champs",="2/22/2019",="Unattached",="GU",="Yes",="1028",="15"
="10","Margalis, Melanie",="100",="113167802",="100 BR SCY",="24",="58.09",="58.09",="2019 Summer Nationals (LCM)",="2016 Winter Nationals",="12/2/2016",="Saint Petersburg Aquatics",="FL",="",="1024",="15"
